LOCUS	MATCHLOC
dDocent_Contig_10018	dDocent_Contig_104202
dDocent_Contig_10018	dDocent_Contig_147380
dDocent_Contig_10018	dDocent_Contig_1577
dDocent_Contig_10018	dDocent_Contig_172657
dDocent_Contig_10018	dDocent_Contig_23004
dDocent_Contig_10018	dDocent_Contig_3323
dDocent_Contig_10018	dDocent_Contig_38654
dDocent_Contig_10018	dDocent_Contig_46589
dDocent_Contig_10018	dDocent_Contig_46775
dDocent_Contig_10018	dDocent_Contig_6740
dDocent_Contig_38929	dDocent_Contig_101744
dDocent_Contig_43510	dDocent_Contig_103448
dDocent_Contig_43510	dDocent_Contig_147906
dDocent_Contig_43510	dDocent_Contig_4692
dDocent_Contig_43510	dDocent_Contig_69393
dDocent_Contig_43510	dDocent_Contig_84818
dDocent_Contig_104204	dDocent_Contig_189129
dDocent_Contig_104204	dDocent_Contig_19799
dDocent_Contig_104204	dDocent_Contig_26381
dDocent_Contig_104204	dDocent_Contig_285561
dDocent_Contig_104204	dDocent_Contig_365182
dDocent_Contig_104204	dDocent_Contig_55707
dDocent_Contig_104204	dDocent_Contig_9840
dDocent_Contig_236388	dDocent_Contig_10429
dDocent_Contig_236388	dDocent_Contig_114038
dDocent_Contig_236388	dDocent_Contig_125660
dDocent_Contig_236388	dDocent_Contig_15689
dDocent_Contig_236388	dDocent_Contig_1613
dDocent_Contig_236388	dDocent_Contig_27406
dDocent_Contig_236388	dDocent_Contig_60730
dDocent_Contig_40313	dDocent_Contig_10430
dDocent_Contig_40313	dDocent_Contig_12726
dDocent_Contig_40313	dDocent_Contig_13449
dDocent_Contig_40313	dDocent_Contig_13617
dDocent_Contig_40313	dDocent_Contig_266400
dDocent_Contig_40313	dDocent_Contig_396176
dDocent_Contig_40313	dDocent_Contig_42205
dDocent_Contig_40313	dDocent_Contig_9989
dDocent_Contig_41166	dDocent_Contig_104541
dDocent_Contig_41166	dDocent_Contig_105366
dDocent_Contig_41166	dDocent_Contig_11036
dDocent_Contig_41166	dDocent_Contig_188003
dDocent_Contig_41166	dDocent_Contig_236369
dDocent_Contig_41166	dDocent_Contig_77372
dDocent_Contig_43997	dDocent_Contig_104837
dDocent_Contig_65087	dDocent_Contig_105803
dDocent_Contig_65087	dDocent_Contig_138918
dDocent_Contig_65087	dDocent_Contig_15214
dDocent_Contig_65087	dDocent_Contig_1655
dDocent_Contig_65087	dDocent_Contig_1779
dDocent_Contig_65087	dDocent_Contig_197457
dDocent_Contig_65087	dDocent_Contig_212542
dDocent_Contig_65087	dDocent_Contig_23445
dDocent_Contig_65087	dDocent_Contig_24873
dDocent_Contig_65087	dDocent_Contig_26617
dDocent_Contig_65087	dDocent_Contig_46391
dDocent_Contig_65087	dDocent_Contig_50994
dDocent_Contig_129129	dDocent_Contig_105948
dDocent_Contig_129129	dDocent_Contig_12934
dDocent_Contig_129129	dDocent_Contig_132967
dDocent_Contig_129129	dDocent_Contig_224858
dDocent_Contig_129129	dDocent_Contig_286764
dDocent_Contig_129129	dDocent_Contig_41318
dDocent_Contig_129129	dDocent_Contig_4305
dDocent_Contig_129129	dDocent_Contig_53447
dDocent_Contig_129129	dDocent_Contig_61940
dDocent_Contig_129129	dDocent_Contig_62851
dDocent_Contig_129129	dDocent_Contig_69979
dDocent_Contig_129129	dDocent_Contig_9237
dDocent_Contig_8268	dDocent_Contig_1065
dDocent_Contig_8268	dDocent_Contig_10903
dDocent_Contig_8268	dDocent_Contig_221197
dDocent_Contig_8268	dDocent_Contig_24841
dDocent_Contig_8268	dDocent_Contig_25067
dDocent_Contig_8268	dDocent_Contig_305075
dDocent_Contig_8268	dDocent_Contig_40654
dDocent_Contig_8268	dDocent_Contig_77513
dDocent_Contig_12222	dDocent_Contig_106618
dDocent_Contig_12222	dDocent_Contig_17057
dDocent_Contig_12222	dDocent_Contig_19889
dDocent_Contig_12222	dDocent_Contig_25887
dDocent_Contig_12222	dDocent_Contig_62798
dDocent_Contig_12222	dDocent_Contig_7845
dDocent_Contig_4163	dDocent_Contig_10702
dDocent_Contig_4163	dDocent_Contig_12852
dDocent_Contig_4163	dDocent_Contig_2867
dDocent_Contig_4163	dDocent_Contig_3502
dDocent_Contig_4163	dDocent_Contig_68910
dDocent_Contig_107634	dDocent_Contig_620
dDocent_Contig_730	dDocent_Contig_107875
dDocent_Contig_730	dDocent_Contig_11094
dDocent_Contig_730	dDocent_Contig_192305
dDocent_Contig_730	dDocent_Contig_19718
dDocent_Contig_730	dDocent_Contig_23570
dDocent_Contig_730	dDocent_Contig_237447
dDocent_Contig_730	dDocent_Contig_249952
dDocent_Contig_730	dDocent_Contig_41408
dDocent_Contig_730	dDocent_Contig_42799
dDocent_Contig_730	dDocent_Contig_5786
dDocent_Contig_730	dDocent_Contig_63516
dDocent_Contig_730	dDocent_Contig_80211
dDocent_Contig_730	dDocent_Contig_86520
dDocent_Contig_223375	dDocent_Contig_108402
dDocent_Contig_23083	dDocent_Contig_109437
dDocent_Contig_40645	dDocent_Contig_10944
dDocent_Contig_40645	dDocent_Contig_172145
dDocent_Contig_40645	dDocent_Contig_2375
dDocent_Contig_40645	dDocent_Contig_24665
dDocent_Contig_40645	dDocent_Contig_39171
dDocent_Contig_40645	dDocent_Contig_52023
dDocent_Contig_40645	dDocent_Contig_67843
dDocent_Contig_40645	dDocent_Contig_74727
dDocent_Contig_32419	dDocent_Contig_109626
dDocent_Contig_368763	dDocent_Contig_110
dDocent_Contig_337536	dDocent_Contig_110765
dDocent_Contig_337536	dDocent_Contig_2205
dDocent_Contig_337536	dDocent_Contig_8138
dDocent_Contig_16582	dDocent_Contig_110926
dDocent_Contig_16582	dDocent_Contig_115544
dDocent_Contig_16582	dDocent_Contig_16583
dDocent_Contig_16582	dDocent_Contig_22362
dDocent_Contig_16582	dDocent_Contig_240437
dDocent_Contig_16582	dDocent_Contig_356616
dDocent_Contig_16582	dDocent_Contig_58600
dDocent_Contig_16582	dDocent_Contig_85639
dDocent_Contig_16582	dDocent_Contig_95836
dDocent_Contig_28309	dDocent_Contig_111577
dDocent_Contig_28309	dDocent_Contig_20453
dDocent_Contig_28309	dDocent_Contig_20890
dDocent_Contig_28309	dDocent_Contig_21728
dDocent_Contig_28309	dDocent_Contig_26467
dDocent_Contig_28309	dDocent_Contig_27826
dDocent_Contig_28309	dDocent_Contig_37992
dDocent_Contig_28309	dDocent_Contig_53181
dDocent_Contig_28309	dDocent_Contig_55599
dDocent_Contig_28309	dDocent_Contig_5706
dDocent_Contig_28309	dDocent_Contig_9496
dDocent_Contig_26812	dDocent_Contig_112066
dDocent_Contig_11296	dDocent_Contig_19143
dDocent_Contig_113099	dDocent_Contig_184316
dDocent_Contig_113099	dDocent_Contig_26852
dDocent_Contig_113099	dDocent_Contig_9844
dDocent_Contig_116082	dDocent_Contig_113458
dDocent_Contig_34674	dDocent_Contig_114253
dDocent_Contig_34674	dDocent_Contig_13137
dDocent_Contig_34674	dDocent_Contig_25003
dDocent_Contig_34674	dDocent_Contig_252651
dDocent_Contig_34674	dDocent_Contig_5720
dDocent_Contig_11448	dDocent_Contig_329046
dDocent_Contig_72480	dDocent_Contig_11476
dDocent_Contig_72480	dDocent_Contig_118656
dDocent_Contig_72480	dDocent_Contig_15622
dDocent_Contig_72480	dDocent_Contig_187289
dDocent_Contig_72480	dDocent_Contig_25822
dDocent_Contig_72480	dDocent_Contig_41038
dDocent_Contig_72480	dDocent_Contig_6959
dDocent_Contig_304602	dDocent_Contig_11522
dDocent_Contig_26251	dDocent_Contig_115658
