LOCUS	MATCHLOC
dDocent_Contig_39587	dDocent_Contig_100682
dDocent_Contig_67724	dDocent_Contig_101087
dDocent_Contig_67724	dDocent_Contig_172925
dDocent_Contig_67724	dDocent_Contig_33993
dDocent_Contig_67724	dDocent_Contig_39959
dDocent_Contig_67724	dDocent_Contig_5988
dDocent_Contig_67724	dDocent_Contig_6590
dDocent_Contig_101213	dDocent_Contig_102859
dDocent_Contig_101570	dDocent_Contig_20418
dDocent_Contig_101570	dDocent_Contig_25692
dDocent_Contig_101570	dDocent_Contig_32419
dDocent_Contig_101570	dDocent_Contig_329394
dDocent_Contig_101570	dDocent_Contig_372229
dDocent_Contig_101570	dDocent_Contig_55414
dDocent_Contig_101570	dDocent_Contig_6257
dDocent_Contig_101570	dDocent_Contig_76593
dDocent_Contig_38929	dDocent_Contig_101744
dDocent_Contig_38929	dDocent_Contig_20088
dDocent_Contig_38929	dDocent_Contig_368549
dDocent_Contig_53811	dDocent_Contig_103327
dDocent_Contig_53811	dDocent_Contig_13498
dDocent_Contig_53811	dDocent_Contig_20949
dDocent_Contig_53811	dDocent_Contig_212609
dDocent_Contig_53811	dDocent_Contig_312243
dDocent_Contig_53811	dDocent_Contig_398347
dDocent_Contig_53811	dDocent_Contig_49437
dDocent_Contig_53811	dDocent_Contig_64257
dDocent_Contig_53811	dDocent_Contig_72703
dDocent_Contig_38981	dDocent_Contig_103437
dDocent_Contig_38981	dDocent_Contig_1425
dDocent_Contig_38981	dDocent_Contig_20987
dDocent_Contig_38981	dDocent_Contig_24886
dDocent_Contig_38981	dDocent_Contig_25863
dDocent_Contig_38981	dDocent_Contig_4468
dDocent_Contig_38981	dDocent_Contig_81453
dDocent_Contig_38981	dDocent_Contig_86305
dDocent_Contig_33597	dDocent_Contig_103540
dDocent_Contig_50758	dDocent_Contig_10422
dDocent_Contig_104597	dDocent_Contig_1745
dDocent_Contig_76476	dDocent_Contig_104837
dDocent_Contig_76476	dDocent_Contig_315251
dDocent_Contig_17645	dDocent_Contig_104875
dDocent_Contig_19222	dDocent_Contig_10687
dDocent_Contig_19222	dDocent_Contig_121755
dDocent_Contig_19222	dDocent_Contig_125713
dDocent_Contig_19222	dDocent_Contig_153620
dDocent_Contig_19222	dDocent_Contig_24740
dDocent_Contig_19222	dDocent_Contig_253090
dDocent_Contig_19222	dDocent_Contig_40726
dDocent_Contig_19222	dDocent_Contig_85692
dDocent_Contig_81937	dDocent_Contig_107843
dDocent_Contig_81937	dDocent_Contig_117120
dDocent_Contig_81937	dDocent_Contig_12895
dDocent_Contig_81937	dDocent_Contig_151933
dDocent_Contig_81937	dDocent_Contig_2388
dDocent_Contig_81937	dDocent_Contig_51274
dDocent_Contig_81937	dDocent_Contig_8082
dDocent_Contig_52792	dDocent_Contig_10808
dDocent_Contig_52792	dDocent_Contig_2638
dDocent_Contig_52792	dDocent_Contig_46295
dDocent_Contig_23083	dDocent_Contig_109437
dDocent_Contig_23083	dDocent_Contig_11578
dDocent_Contig_23083	dDocent_Contig_37660
dDocent_Contig_23083	dDocent_Contig_51033
dDocent_Contig_371259	dDocent_Contig_109523
dDocent_Contig_371259	dDocent_Contig_120125
dDocent_Contig_371259	dDocent_Contig_15670
dDocent_Contig_371259	dDocent_Contig_19101
dDocent_Contig_371259	dDocent_Contig_20838
dDocent_Contig_371259	dDocent_Contig_79522
dDocent_Contig_39533	dDocent_Contig_109605
dDocent_Contig_39533	dDocent_Contig_1537
dDocent_Contig_39533	dDocent_Contig_20895
dDocent_Contig_39533	dDocent_Contig_25574
