LOCUS	MATCHLOC
dDocent_Contig_47619	dDocent_Contig_10018
dDocent_Contig_47619	dDocent_Contig_146193
dDocent_Contig_47619	dDocent_Contig_16298
dDocent_Contig_47619	dDocent_Contig_200617
dDocent_Contig_47619	dDocent_Contig_256167
dDocent_Contig_47619	dDocent_Contig_3323
dDocent_Contig_47619	dDocent_Contig_3398
dDocent_Contig_47619	dDocent_Contig_34189
dDocent_Contig_47619	dDocent_Contig_46589
dDocent_Contig_47619	dDocent_Contig_49041
dDocent_Contig_47619	dDocent_Contig_65613
dDocent_Contig_47619	dDocent_Contig_66356
dDocent_Contig_47619	dDocent_Contig_66465
dDocent_Contig_205084	dDocent_Contig_1023
dDocent_Contig_102978	dDocent_Contig_1065
dDocent_Contig_102978	dDocent_Contig_15402
dDocent_Contig_3906	dDocent_Contig_103632
dDocent_Contig_3906	dDocent_Contig_160109
dDocent_Contig_3906	dDocent_Contig_224972
dDocent_Contig_3906	dDocent_Contig_27754
dDocent_Contig_3906	dDocent_Contig_28276
dDocent_Contig_3906	dDocent_Contig_2842
dDocent_Contig_3906	dDocent_Contig_37125
dDocent_Contig_3906	dDocent_Contig_4379
dDocent_Contig_3906	dDocent_Contig_75983
dDocent_Contig_10400	dDocent_Contig_315136
dDocent_Contig_82625	dDocent_Contig_104302
dDocent_Contig_82625	dDocent_Contig_178388
dDocent_Contig_82625	dDocent_Contig_21399
dDocent_Contig_82625	dDocent_Contig_30011
dDocent_Contig_82625	dDocent_Contig_36421
dDocent_Contig_82625	dDocent_Contig_48591
dDocent_Contig_104757	dDocent_Contig_2186
dDocent_Contig_23669	dDocent_Contig_104837
dDocent_Contig_23669	dDocent_Contig_21480
dDocent_Contig_23669	dDocent_Contig_394960
dDocent_Contig_23669	dDocent_Contig_45635
dDocent_Contig_23669	dDocent_Contig_51314
dDocent_Contig_67603	dDocent_Contig_105322
dDocent_Contig_126122	dDocent_Contig_105544
dDocent_Contig_126122	dDocent_Contig_14631
dDocent_Contig_126122	dDocent_Contig_17824
dDocent_Contig_126122	dDocent_Contig_333713
dDocent_Contig_57170	dDocent_Contig_107875
dDocent_Contig_108270	dDocent_Contig_15730
dDocent_Contig_9980	dDocent_Contig_1092
dDocent_Contig_9980	dDocent_Contig_12068
dDocent_Contig_9980	dDocent_Contig_16344
dDocent_Contig_9980	dDocent_Contig_165225
dDocent_Contig_9980	dDocent_Contig_319005
dDocent_Contig_9980	dDocent_Contig_46150
dDocent_Contig_9980	dDocent_Contig_52478
dDocent_Contig_9980	dDocent_Contig_58685
dDocent_Contig_32565	dDocent_Contig_110001
dDocent_Contig_16209	dDocent_Contig_112107
dDocent_Contig_144226	dDocent_Contig_11228
dDocent_Contig_144226	dDocent_Contig_118540
dDocent_Contig_144226	dDocent_Contig_189702
dDocent_Contig_144226	dDocent_Contig_311699
dDocent_Contig_144226	dDocent_Contig_46117
dDocent_Contig_144226	dDocent_Contig_53181
dDocent_Contig_89781	dDocent_Contig_1126
dDocent_Contig_89781	dDocent_Contig_206761
dDocent_Contig_89781	dDocent_Contig_301464
dDocent_Contig_89781	dDocent_Contig_52625
dDocent_Contig_89781	dDocent_Contig_89980
dDocent_Contig_172657	dDocent_Contig_112837
dDocent_Contig_172657	dDocent_Contig_117908
dDocent_Contig_172657	dDocent_Contig_201792
dDocent_Contig_172657	dDocent_Contig_23004
dDocent_Contig_172657	dDocent_Contig_356691
dDocent_Contig_172657	dDocent_Contig_49431
dDocent_Contig_172657	dDocent_Contig_6740
dDocent_Contig_172657	dDocent_Contig_90638
dDocent_Contig_1138	dDocent_Contig_54855
dDocent_Contig_1138	dDocent_Contig_61940
dDocent_Contig_11476	dDocent_Contig_120609
dDocent_Contig_11476	dDocent_Contig_29969
dDocent_Contig_11476	dDocent_Contig_36313
dDocent_Contig_13530	dDocent_Contig_114867
dDocent_Contig_1968	dDocent_Contig_115544
dDocent_Contig_1968	dDocent_Contig_209495
dDocent_Contig_1968	dDocent_Contig_326304
dDocent_Contig_1968	dDocent_Contig_73569
dDocent_Contig_1968	dDocent_Contig_86520
dDocent_Contig_84095	dDocent_Contig_116658
dDocent_Contig_84095	dDocent_Contig_12376
dDocent_Contig_84095	dDocent_Contig_154461
dDocent_Contig_84095	dDocent_Contig_18065
dDocent_Contig_84095	dDocent_Contig_37716
dDocent_Contig_84095	dDocent_Contig_7179
dDocent_Contig_18304	dDocent_Contig_117373
dDocent_Contig_118595	dDocent_Contig_13058
dDocent_Contig_118595	dDocent_Contig_13907
dDocent_Contig_118595	dDocent_Contig_37115
dDocent_Contig_118595	dDocent_Contig_39171
dDocent_Contig_118595	dDocent_Contig_5138
dDocent_Contig_118595	dDocent_Contig_52023
dDocent_Contig_48250	dDocent_Contig_120577
dDocent_Contig_48250	dDocent_Contig_127992
dDocent_Contig_48250	dDocent_Contig_254910
dDocent_Contig_48250	dDocent_Contig_50376
dDocent_Contig_48250	dDocent_Contig_50518
dDocent_Contig_12852	dDocent_Contig_12065
dDocent_Contig_12852	dDocent_Contig_12309
dDocent_Contig_12852	dDocent_Contig_186532
dDocent_Contig_12852	dDocent_Contig_257
dDocent_Contig_12852	dDocent_Contig_360
dDocent_Contig_12852	dDocent_Contig_40681
dDocent_Contig_12852	dDocent_Contig_45876
dDocent_Contig_12852	dDocent_Contig_62402
dDocent_Contig_12852	dDocent_Contig_62646
dDocent_Contig_7845	dDocent_Contig_120759
dDocent_Contig_7845	dDocent_Contig_21452
dDocent_Contig_7845	dDocent_Contig_22427
dDocent_Contig_7845	dDocent_Contig_3025
dDocent_Contig_1600	dDocent_Contig_123246
dDocent_Contig_53447	dDocent_Contig_12340
dDocent_Contig_53447	dDocent_Contig_15328
dDocent_Contig_53447	dDocent_Contig_242
dDocent_Contig_53447	dDocent_Contig_304729
dDocent_Contig_53447	dDocent_Contig_331593
dDocent_Contig_53447	dDocent_Contig_78148
dDocent_Contig_147380	dDocent_Contig_123426
dDocent_Contig_124034	dDocent_Contig_53
dDocent_Contig_12441	dDocent_Contig_6178
dDocent_Contig_92423	dDocent_Contig_12942
dDocent_Contig_13137	dDocent_Contig_266400
dDocent_Contig_13137	dDocent_Contig_37128
dDocent_Contig_13137	dDocent_Contig_39029
dDocent_Contig_13137	dDocent_Contig_55522
dDocent_Contig_132290	dDocent_Contig_317529
dDocent_Contig_74614	dDocent_Contig_13320
dDocent_Contig_74614	dDocent_Contig_153853
dDocent_Contig_65242	dDocent_Contig_13506
dDocent_Contig_65242	dDocent_Contig_16379
dDocent_Contig_65242	dDocent_Contig_252975
dDocent_Contig_65242	dDocent_Contig_317880
dDocent_Contig_65242	dDocent_Contig_33695
dDocent_Contig_65242	dDocent_Contig_5166
dDocent_Contig_16668	dDocent_Contig_13707
dDocent_Contig_16668	dDocent_Contig_16265
dDocent_Contig_1397	dDocent_Contig_15622
dDocent_Contig_1397	dDocent_Contig_283311
dDocent_Contig_1397	dDocent_Contig_396010
dDocent_Contig_75671	dDocent_Contig_14056
dDocent_Contig_16207	dDocent_Contig_141966
dDocent_Contig_16207	dDocent_Contig_23434
dDocent_Contig_16207	dDocent_Contig_3903
dDocent_Contig_16207	dDocent_Contig_530
dDocent_Contig_16207	dDocent_Contig_53753
dDocent_Contig_16207	dDocent_Contig_8139
dDocent_Contig_16207	dDocent_Contig_97641
dDocent_Contig_92057	dDocent_Contig_14368
dDocent_Contig_92057	dDocent_Contig_236369
dDocent_Contig_92057	dDocent_Contig_242112
dDocent_Contig_92057	dDocent_Contig_25932
