LOCUS	MATCHLOC
dDocent_Contig_21407	dDocent_Contig_100914
dDocent_Contig_21407	dDocent_Contig_156809
dDocent_Contig_21407	dDocent_Contig_329651
dDocent_Contig_21407	dDocent_Contig_6142
dDocent_Contig_101640	dDocent_Contig_140479
dDocent_Contig_101640	dDocent_Contig_66352
dDocent_Contig_129385	dDocent_Contig_103393
dDocent_Contig_129385	dDocent_Contig_21388
dDocent_Contig_30483	dDocent_Contig_10400
dDocent_Contig_30483	dDocent_Contig_120683
dDocent_Contig_10430	dDocent_Contig_26484
dDocent_Contig_105203	dDocent_Contig_72018
dDocent_Contig_10551	dDocent_Contig_7358
dDocent_Contig_10551	dDocent_Contig_89482
dDocent_Contig_10551	dDocent_Contig_99681
dDocent_Contig_8591	dDocent_Contig_106718
dDocent_Contig_8591	dDocent_Contig_109848
dDocent_Contig_8591	dDocent_Contig_133863
dDocent_Contig_8591	dDocent_Contig_22395
dDocent_Contig_8591	dDocent_Contig_52003
dDocent_Contig_359613	dDocent_Contig_10790
dDocent_Contig_359613	dDocent_Contig_109084
dDocent_Contig_108402	dDocent_Contig_11410
dDocent_Contig_108402	dDocent_Contig_48611
dDocent_Contig_10873	dDocent_Contig_333242
dDocent_Contig_110	dDocent_Contig_215424
dDocent_Contig_110	dDocent_Contig_368763
dDocent_Contig_110	dDocent_Contig_73723
dDocent_Contig_8672	dDocent_Contig_110104
dDocent_Contig_8672	dDocent_Contig_13762
dDocent_Contig_8672	dDocent_Contig_149738
dDocent_Contig_8672	dDocent_Contig_15670
dDocent_Contig_8672	dDocent_Contig_2971
dDocent_Contig_8672	dDocent_Contig_78739
dDocent_Contig_227127	dDocent_Contig_110843
dDocent_Contig_227127	dDocent_Contig_76478
dDocent_Contig_174602	dDocent_Contig_11122
dDocent_Contig_174602	dDocent_Contig_206879
dDocent_Contig_174602	dDocent_Contig_35624
dDocent_Contig_23960	dDocent_Contig_112075
dDocent_Contig_23960	dDocent_Contig_215508
dDocent_Contig_16209	dDocent_Contig_112107
dDocent_Contig_16209	dDocent_Contig_21608
dDocent_Contig_16209	dDocent_Contig_216087
dDocent_Contig_16209	dDocent_Contig_40683
dDocent_Contig_16209	dDocent_Contig_6127
dDocent_Contig_16209	dDocent_Contig_64108
dDocent_Contig_16209	dDocent_Contig_8291
dDocent_Contig_112244	dDocent_Contig_119372
dDocent_Contig_112244	dDocent_Contig_197508
dDocent_Contig_112244	dDocent_Contig_61119
dDocent_Contig_15915	dDocent_Contig_114962
dDocent_Contig_15915	dDocent_Contig_169583
dDocent_Contig_15915	dDocent_Contig_376782
dDocent_Contig_15915	dDocent_Contig_43089
dDocent_Contig_115567	dDocent_Contig_379939
dDocent_Contig_115567	dDocent_Contig_400071
dDocent_Contig_29616	dDocent_Contig_116062
dDocent_Contig_29616	dDocent_Contig_40834
dDocent_Contig_29616	dDocent_Contig_4899
dDocent_Contig_29616	dDocent_Contig_8819
dDocent_Contig_240497	dDocent_Contig_117020
dDocent_Contig_240497	dDocent_Contig_5320
dDocent_Contig_1177	dDocent_Contig_50498
dDocent_Contig_15010	dDocent_Contig_120125
dDocent_Contig_233714	dDocent_Contig_12108
dDocent_Contig_233714	dDocent_Contig_214875
