K1 K2 REF N_Loci_Ref Not_Mapped Mean_Mapped_Non0 Sum_Mapped Reads_Mapped Sum_Paired Mean_Paired Sum_Mismatch Mean_Mismatch
1 1 2 12 45806 2678 59.3542478204415 40018499 2223249.94444444 36478911 2026606.16666667 752182 41787.8888888889
2 1 3 13 35829 827 79.7649848580081 39722494 2206805.22222222 35980103 1998894.61111111 1116167 62009.2777777778
3 1 4 14 30093 369 101.676187592518 39300319 2183351.05555556 35315381 1961965.61111111 1062060 59003.3333333333
4 2 1 21 52832 6890 50.9306516912629 40345067 2241392.61111111 37136638 2063146.55555556 526836 29268.6666666667
5 2 2 22 31583 1406 64.0116645127084 41283335 2293518.61111111 38680032 2148890.66666667 428562 23809
6 2 3 23 18692 448 165.781407586056 39811197 2211733.16666667 36903473 2050192.94444444 1774023 98556.8333333333
7 2 4 24 19283 227 102.160736775819 38448988 2136054.88888889 36119557 2006642.05555556 822629 45701.6111111111
8 3 1 31 40445 5273 62.8029398385079 41403785 2300210.27777778 38689606 2149422.55555556 839560 46642.2222222222
9 3 2 32 24109 1185 69.6954283720119 40338780 2241043.33333333 38747443 2152635.72222222 323842 17991.2222222222
10 3 3 33 18692 448 165.781407586056 39811197 2211733.16666667 36903473 2050192.94444444 1774023 98556.8333333333
11 3 4 34 15565 196 183.073459561455 38345390 2130299.44444444 35465139 1970285.5 1671395 92855.2777777778
12 4 1 41 33867 4682 103.264176803152 41096167 2283120.38888889 38248692 2124927.33333333 1753575 97420.8333333333
13 4 2 42 21231 1078 118.423956731008 40434551 2246363.94444444 38234045 2124113.61111111 1370649 76147.1666666667
14 4 3 43 16989 400 140.577551389475 39111784 2172876.88888889 36946700 2052594.44444444 1404125 78006.9444444444
15 4 4 44 14332 174 152.823421387202 37683748 2093541.55555556 35430232 1968346.22222222 1320276 73348.6666666667
