CONTIG_ID	ACCESSION	GENE_ID	GO_PROCESS	STUDY	CONTEXT
Contig525	AJ291986	UDP-glucuronosyltransferase (UGT3 gene)		Larsen_2007	HIGH_LOW_SALINITY
Contig1061	AJ292042	Glutathione peroxidase		Larsen_2007	NTHSEA_BALTIC
PfPARA-o2	AJ292086	Paraoxonase 2		Larsen_2007	NTHSEA_HILOW
PfPARP-o4	AJ292087	ARD-1 N-acetyltransferase	DNA packaging; N-terminal protein amino acid acetylation; chromosome organization and biogenesis (sensu Eukaryota); internal protein amino acid acetylation; acyl-carrier protein biosynthesis;	Larsen_2007	HIGH_LOW_SALINITY
Contig621	AJ300776	Eukaryotic translation elongation factor 2	regulation of translational elongation;	Larsen_2007	NTHSEA_BALTIC
Contig1013	AJ300777	Transferrin		Larsen_2007	NTHSEA_BALTIC
PfALAS-l6	AJ302076	5-aminolevulinic acid synthase	heme biosynthesis; glycine metabolism; L-serine metabolism; threonine metabolism; acyl-carrier protein biosynthesis;	Larsen_2007	NTHSEA_BALTIC
Contig964	AJ306231	Alpha 2HS glycoprotein	cellular process; organismal physiological process; regulation of physiological process;	Larsen_2007	HIGH_LOW_SALINITY
Contig964	AJ306231	Alpha 2HS glycoprotein	cellular process; organismal physiological process; regulation of physiological process;	Larsen_2007	NTHSEA_HILOW
Contig776	AJ306234	heat shock protein 90 beta	biological_process;	Larsen_2007	NTHSEA_HILOW
Contig480	AJ310423	Apolipoprotein AI	lipoprotein metabolism; lipid transport;	Larsen_2007	HIGH_LOW_SALINITY
Contig480	AJ310423	Apolipoprotein AI	lipoprotein metabolism; lipid transport;	Larsen_2007	NTHSEA_HILOW
PfGRX-l4	AJ310512	None		Larsen_2007	HIGH_LOW_SALINITY
Contig509	AJ310717	NADH Dehydrogenase subunit 1		Larsen_2007	NTHSEA_BALTIC
Contig774	AJ508542	MHC II invariant chain	cellular metabolism; regulation of cellular physiological process; primary metabolism; immune response;	Larsen_2007	NTHSEA_BALTIC
Contig417	AJ508543	ferritin H-1	negative regulation of cell proliferation; immune response;	Larsen_2007	NTHSEA_BALTIC
Contig509	AJ508726	NADH Dehydrogenase subunit 1		Larsen_2007	NTHSEA_BALTIC
PfBR2E8	AJ508747	organic anion transporting polypeptide 1b4 (cDNA clone pfbaxo4)	organic anion transport;	Larsen_2007	NTHSEA_BALTIC
Contig1018	AJ543333	Prostaglandin D synthase		Larsen_2007	NTHSEA_HILOW
Contig1095	AJ543354	transport protein Sec61 beta subunit	protein targeting;	Larsen_2007	NTHSEA_BALTIC
Contig1018	AJ578001	Prostaglandin D synthase		Larsen_2007	NTHSEA_HILOW
Contig480	AJ578021	Apolipoprotein AI	lipoprotein metabolism; lipid transport;	Larsen_2007	HIGH_LOW_SALINITY
Contig480	AJ578021	Apolipoprotein AI	lipoprotein metabolism; lipid transport;	Larsen_2007	NTHSEA_HILOW
Contig480	AJ578022	Apolipoprotein AI	lipoprotein metabolism; lipid transport;	Larsen_2007	HIGH_LOW_SALINITY
Contig480	AJ578022	Apolipoprotein AI	lipoprotein metabolism; lipid transport;	Larsen_2007	NTHSEA_HILOW
PfBR2B9	AJ578025	cDNA clone LG 3(6).		Larsen_2007	HIGH_LOW_SALINITY
PfBR2B9	AJ578025	cDNA clone LG 3(6).		Larsen_2007	NTHSEA_HILOW
PfBF2D6	AJ580510	None		Larsen_2007	HIGH_LOW_SALINITY
PfBR1C6	AJ580587	Q motif containing GTPase activating protein 2 (IQGAP2)	negative regulation of Ras protein signal transduction;	Larsen_2007	NTHSEA_BALTIC
Contig480	AJ605134	Apolipoprotein AI	lipoprotein metabolism; lipid transport;	Larsen_2007	HIGH_LOW_SALINITY
Contig480	AJ605134	Apolipoprotein AI	lipoprotein metabolism; lipid transport;	Larsen_2007	NTHSEA_HILOW
Contig559	AJ605263	60S ribosomal protein L3		Larsen_2007	NTHSEA_BALTIC
Contig775	AJ605270	"Proteasome (Prosome, macropain) 26S subunit, non-ATPase, 12"		Larsen_2007	NTHSEA_BALTIC
Contig509	AJ605274	NADH Dehydrogenase subunit 1		Larsen_2007	NTHSEA_BALTIC
Contig480	AJ605276	Apolipoprotein AI	lipoprotein metabolism; lipid transport;	Larsen_2007	HIGH_LOW_SALINITY
Contig480	AJ605276	Apolipoprotein AI	lipoprotein metabolism; lipid transport;	Larsen_2007	NTHSEA_HILOW
Contig641	AM041911	"splicing factor, arginine/serine-rich 2 (SC-35)"		Larsen_2007	BALTIC_HILOW
Contig1110	C378643	none		Larsen_2007	NTHSEA_BALTIC
Contig1006	C379086	CD59 Glycoprotein precursor (MAC 1P)		Larsen_2007	NTHSEA_BALTIC
Contig19	DV565312	Neurotoxin/C59/Ly-6-like protein		Larsen_2007	NTHSEA_BALTIC
Contig19	DV565312	Neurotoxin/C59/Ly-6-like protein		Larsen_2007	NTHSEA_HILOW
Contig41	DV565315	Lysozyme c		Larsen_2007	NTHSEA_HILOW
Contig41	DV565322	Lysozyme c		Larsen_2007	NTHSEA_HILOW
Contig776	DV565338	heat shock protein 90 beta	biological_process;	Larsen_2007	NTHSEA_HILOW
Contig1006	DV565342	CD59 Glycoprotein precursor (MAC 1P)		Larsen_2007	NTHSEA_BALTIC
Contig442	DV565346	glutamate carboxypeptidase (Darmin)		Larsen_2007	NTHSEA_HILOW
PfIL003B10	DV565350	"Lectin, mannose-binding, 1"	protein folding; ER to Golgi transport; blood coagulation;	Larsen_2007	NTHSEA_BALTIC
Contig662	DV565354	fertilization envelope outer layer protein		Larsen_2007	NTHSEA_HILOW
PfIL006A05	DV565379	none		Larsen_2007	NTHSEA_BALTIC
Contig563	DV565399	Zgc:103569		Larsen_2007	NTHSEA_HILOW
Contig867	DV565409	60S ribosomal protein L38	protein biosynthesis; ribosome biogenesis and assembly;	Larsen_2007	NTHSEA_HILOW
Contig1013	DV565415	Transferrin		Larsen_2007	NTHSEA_BALTIC
Contig683	DV565427	60S ribosomal protein L37a	protein biosynthesis; ribosome biogenesis and assembly;	Larsen_2007	NTHSEA_HILOW
Contig19	DV565428	Neurotoxin/C59/Ly-6-like protein		Larsen_2007	NTHSEA_BALTIC
Contig19	DV565428	Neurotoxin/C59/Ly-6-like protein		Larsen_2007	NTHSEA_HILOW
Contig533	DV565432	complement component C9	cytolysis;	Larsen_2007	NTHSEA_BALTIC
Contig647	DV565437	angiotensinogen precursor		Larsen_2007	HIGH_LOW_SALINITY
Contig647	DV565437	angiotensinogen precursor		Larsen_2007	NTHSEA_HILOW
PfIL007D09	DV565448	Mitochondrial ATP synthase c-subunit (P3)	ATP synthesis coupled proton transport;	Larsen_2007	NTHSEA_BALTIC
