Ind	Poss_Paralogs	Low_Coverage/Errors	Miss_Genotype	Total_Failed	Total_Loci	Prop_Success
SFL-1_SFL-A-017	59	102	0	161	4461	0.963909437345887
SFL-1_SFL-A-018	51	104	2	157	4461	0.964806097287604
SFL-1_SFL-A-019	51	96	5	152	4461	0.96592692221475
SFL-1_SFL-A-020	47	102	3	152	4461	0.96592692221475
SFL-1_SFL-A-021	51	100	15	166	4461	0.96278861241874
SFL-1_SFL-A-022	137	96	810	1043	4461	0.766195920197265
SFL-1_SFL-A-023	53	104	12	169	4461	0.962116117462452
SFL-1_SFL-A-024	51	102	21	174	4461	0.960995292535306
SFL-1_SFL-A-025	56	106	21	183	4461	0.958977807666442
SFL-1_SFL-A-026	44	95	7	146	4461	0.967271912127326
SFL-1_SFL-A-027	51	107	25	183	4461	0.958977807666442
SFL-1_SFL-A-028	62	105	16	183	4461	0.958977807666442
SFL-1_SFL-A-029	49	111	4	164	4461	0.963236942389599
SFL-1_SFL-A-030	57	96	1	154	4461	0.965478592243892
SFL-1_SFL-A-031	55	107	8	170	4461	0.961891952477023
SFL-1_SFL-A-032	48	95	2	145	4461	0.967496077112755
SFL-1_SFL-A-033	49	117	22	188	4461	0.957856982739296
SFL-1_SFL-A-034	55	109	68	232	4461	0.947993723380408
SFL-1_SFL-A-035	78	107	55	240	4461	0.946200403496974
SFL-1_SFL-A-036	47	109	58	214	4461	0.952028693118135
SFL-1_SFL-A-037	99	108	888	1095	4461	0.754539340954943
SFL-1_SFL-A-038	88	60	2172	2320	4461	0.47993723380408
SFL-1_SFL-A-039	49	114	63	226	4461	0.949338713292984
SFL-1_SFL-A-040	60	107	31	198	4461	0.955615332885003
SFL-1_SFL-A-041	66	97	125	288	4461	0.935440484196368
SFL-1_SFL-A-042	76	107	24	207	4461	0.95359784801614
SFL-1_SFL-A-043	69	109	31	209	4461	0.953149518045281
SFL-1_SFL-A-044	67	111	16	194	4461	0.956511992826721
SFL-1_SFL-A-045	61	106	61	228	4461	0.948890383322125
SFL-1_SFL-A-046	142	73	1796	2011	4461	0.549204214301726
SFL-1_SFL-A-047	56	110	53	219	4461	0.950907868190989
SFL-1_SFL-A-048	57	101	31	189	4461	0.957632817753867
SFL-1_SFL-A-049	45	101	8	154	4461	0.965478592243892
SFL-1_SFL-A-050	50	101	19	170	4461	0.961891952477023
SFL-1_SFL-A-051	52	103	4	159	4461	0.964357767316745
SFL-1_SFL-A-053	50	109	8	167	4461	0.962564447433311
SFL-1_SFL-A-054	57	101	1	159	4461	0.964357767316745
SFL-1_SFL-A-055	44	100	3	147	4461	0.967047747141896
SFL-1_SFL-A-056	50	105	4	159	4461	0.964357767316745
SFL-1_SFL-A-057	52	104	122	278	4461	0.937682134050661
SFL-1_SFL-A-058	52	93	11	156	4461	0.965030262273033
SFL-1_SFL-A-059	56	108	5	169	4461	0.962116117462452
SFL-1_SFL-A-060	62	93	8	163	4461	0.963461107375028
SFL-1_SFL-A-061	65	103	2	170	4461	0.961891952477023
SFL-1_SFL-A-062	55	109	1	165	4461	0.963012777404169
SFL-1_SFL-A-064	50	107	4	161	4461	0.963909437345887
SFL-1_SFL-A-065	44	98	9	151	4461	0.966151087200179
SFL-1_SFL-A-082	44	101	4	149	4461	0.966599417171038
SFL-1_SFL-A-083	38	95	7	140	4461	0.968616902039901
SFL-1_SFL-A-084	36	104	12	152	4461	0.96592692221475
SFL-1_SFL-A-085	39	112	28	179	4461	0.95987446760816
SFL-1_SFL-A-086	98	77	1686	1861	4461	0.582828962116117
SFL-1_SFL-A-087	61	103	588	752	4461	0.831427930957184
SFL-1_SFL-A-088	71	96	999	1166	4461	0.738623626989464
SFL-1_SFL-A-089	50	106	13	169	4461	0.962116117462452
SFL-1_SFL-A-090	49	111	21	181	4461	0.959426137637301
SFL-1_SFL-A-091	47	101	6	154	4461	0.965478592243892
SFL-1_SFL-A-092	46	97	804	947	4461	0.787715758798476
SFL-1_SFL-A-093	40	114	36	190	4461	0.957408652768438
SFL-1_SFL-A-094	44	109	156	309	4461	0.930733019502354
SFL-1_SFL-A-095	35	110	436	581	4461	0.869760143465591
SFL-1_SFL-A-098	42	106	13	161	4461	0.963909437345887
SFL-1_SFL-A-099	45	107	6	158	4461	0.964581932302174
SFL-1_SFL-A-100	45	106	4	155	4461	0.965254427258462
SFL-1_SFL-A-101	45	104	7	156	4461	0.965030262273033
SFL-1_SFL-A-102	47	94	6	147	4461	0.967047747141896
SFL-1_SFL-A-103	38	116	145	299	4461	0.932974669356647
SFL-1_SFL-A-104	45	105	3	153	4461	0.965702757229321
SFL-1_SFL-A-105	37	95	5	137	4461	0.969289396996189
SFL-1_SFL-A-106	50	97	3	150	4461	0.966375252185609
SFL-1_SFL-A-107	42	112	40	194	4461	0.956511992826721
SFL-1_SFL-A-108	37	89	6	132	4461	0.970410221923336
SFL-1_SFL-A-110	49	107	9	165	4461	0.963012777404169
SFL-1_SFL-A-111	46	102	6	154	4461	0.965478592243892
SFL-1_SFL-A-112	48	113	101	262	4461	0.94126877381753
SFL-1_SFL-A-113	35	102	41	178	4461	0.960098632593589
SFL-1_SFL-A-114	36	110	4	150	4461	0.966375252185609
SFL-1_SFL-A-115	34	76	1306	1416	4461	0.682582380632145
