Ind	Poss_Paralogs	Low_Coverage/Errors	Miss_Genotype	Total_Failed	Total_Loci	Prop_Success
FamB_FamB-001	62	98	18	178	3240	0.945061728395062
FamB_FamB-002	47	88	39	174	3240	0.946296296296296
FamB_FamB-003	77	101	64	242	3240	0.925308641975309
FamB_FamB-004	105	102	6	213	3240	0.934259259259259
FamB_FamB-005	86	98	20	204	3240	0.937037037037037
FamB_FamB-006	78	105	16	199	3240	0.93858024691358
FamB_FamB-007	101	107	11	219	3240	0.932407407407407
FamB_FamB-008	76	102	12	190	3240	0.941358024691358
FamB_FamB-009	71	97	28	196	3240	0.939506172839506
FamB_FamB-010	120	107	6	233	3240	0.928086419753086
FamB_FamB-011	121	93	43	257	3240	0.920679012345679
FamB_FamB-012	64	97	5	166	3240	0.948765432098765
FamB_FamB-013	144	126	19	289	3240	0.910802469135802
FamB_FamB-015	76	99	10	185	3240	0.942901234567901
FamB_FamB-016	56	93	30	179	3240	0.944753086419753
FamB_FamB-017	75	104	37	216	3240	0.933333333333333
FamB_FamB-018	50	87	20	157	3240	0.951543209876543
FamB_FamB-019	64	91	10	165	3240	0.949074074074074
FamB_FamB-020	84	101	8	193	3240	0.940432098765432
FamB_FamB-021	104	97	31	232	3240	0.928395061728395
FamB_FamB-022	84	95	17	196	3240	0.939506172839506
FamB_FamB-023	46	91	35	172	3240	0.946913580246914
FamB_FamB-024	96	96	46	238	3240	0.926543209876543
FamB_FamB-025	64	93	17	174	3240	0.946296296296296
FamB_FamB-026	71	95	31	197	3240	0.939197530864198
FamB_FamB-027	182	48	2064	2294	3240	0.291975308641975
FamB_FamB-028	221	95	872	1188	3240	0.633333333333333
FamB_FamB-029	66	101	37	204	3240	0.937037037037037
FamB_FamB-030	62	99	32	193	3240	0.940432098765432
FamB_FamB-032	66	88	40	194	3240	0.940123456790123
FamB_FamB-033	67	94	95	256	3240	0.920987654320988
FamB_FamB-034	58	90	4	152	3240	0.953086419753086
FamB_FamB-035	68	86	125	279	3240	0.913888888888889
FamB_FamB-036	57	83	3	143	3240	0.955864197530864
FamB_FamB-037	60	90	32	182	3240	0.943827160493827
FamB_FamB-038	74	92	95	261	3240	0.919444444444444
FamB_FamB-039	68	103	37	208	3240	0.935802469135802
FamB_FamB-040	53	84	17	154	3240	0.952469135802469
FamB_FamB-042	58	90	35	183	3240	0.943518518518519
FamB_FamB-043	93	98	29	220	3240	0.932098765432099
FamB_FamB-045	131	114	46	291	3240	0.910185185185185
FamB_FamB-046	132	112	16	260	3240	0.919753086419753
FamB_FamB-049	72	99	28	199	3240	0.93858024691358
FamB_FamB-050	79	91	34	204	3240	0.937037037037037
FamB_FamB-051	77	88	27	192	3240	0.940740740740741
FamB_FamB-052	76	95	182	353	3240	0.891049382716049
FamB_FamB-053	107	104	107	318	3240	0.901851851851852
FamB_FamB-054	130	106	11	247	3240	0.923765432098765
FamB_FamB-055	100	93	39	232	3240	0.928395061728395
FamB_FamB-056	158	107	149	414	3240	0.872222222222222
FamB_FamB-058	206	136	52	394	3240	0.878395061728395
FamB_FamB-059	116	100	80	296	3240	0.908641975308642
FamB_FamB-060	75	78	8	161	3240	0.950308641975309
FamB_FamB-062	130	108	24	262	3240	0.919135802469136
FamB_FamB-064	109	109	28	246	3240	0.924074074074074
FamB_FamB-065	140	115	37	292	3240	0.909876543209877
FamB_FamB-068	102	103	3	208	3240	0.935802469135802
FamB_FamB-069	94	103	20	217	3240	0.933024691358025
FamB_FamB-070a	128	117	112	357	3240	0.889814814814815
FamB_FamB-070b	87	110	29	226	3240	0.930246913580247
FamB_FamB-073	77	94	12	183	3240	0.943518518518519
FamB_FamB-074	117	105	43	265	3240	0.91820987654321
FamB_FamB-075	128	120	21	269	3240	0.916975308641975
FamB_FamB-076	105	103	62	270	3240	0.916666666666667
FamB_FamB-077	119	87	108	314	3240	0.903086419753086
FamB_FamB-078	64	90	37	191	3240	0.941049382716049
FamB_FamB-081	105	110	17	232	3240	0.928395061728395
FamB_FamB-082	123	104	18	245	3240	0.924382716049383
FamB_FamB-083	121	101	106	328	3240	0.898765432098765
FamB_FamB-087	189	112	46	347	3240	0.892901234567901
FamB_FamB-088	89	88	1113	1290	3240	0.601851851851852
FamB_FamB-089	96	117	59	272	3240	0.916049382716049
FamB_FamB-090	90	99	38	227	3240	0.929938271604938
FamB_FamB-091	91	104	53	248	3240	0.923456790123457
FamB_FamB-092	127	128	68	323	3240	0.900308641975309
FamB_FamB-093	133	116	60	309	3240	0.90462962962963
FamB_FamB-094	424	94	114	632	3240	0.804938271604938
FamB_FamB-095	109	102	56	267	3240	0.917592592592593
FamB_FamB-096	85	107	28	220	3240	0.932098765432099
FamB_FamB-097	98	119	191	408	3240	0.874074074074074
FamB_FamB-098	101	105	95	301	3240	0.907098765432099
FamB_FamB-099	95	108	46	249	3240	0.923148148148148
FamB_FamB-100	62	85	17	164	3240	0.949382716049383
FamB_FamB-102	507	105	899	1511	3240	0.533641975308642
FamB_FamB-103	218	96	846	1160	3240	0.641975308641975
FamB_FamB-104	156	114	666	936	3240	0.711111111111111
FamB_FamB-105	68	14	2697	2779	3240	0.142283950617284
FamB_FamB-107	240	62	1697	1999	3240	0.383024691358025
FamB_FamB-108	503	115	104	722	3240	0.77716049382716
FamB_FamB-109	259	64	1863	2186	3240	0.325308641975309
FamB_FamB-110	165	35	2205	2405	3240	0.257716049382716
FamB_FamB-111	461	92	1121	1674	3240	0.483333333333333
FamB_FamB-112	121	124	10	255	3240	0.921296296296296
FamB_FamB-113	57	80	17	154	3240	0.952469135802469
FamB_FamB-115	111	100	7	218	3240	0.932716049382716
FamB_FamB-116	63	76	4	143	3240	0.955864197530864
FamB_FamB-117	108	112	6	226	3240	0.930246913580247
FamB_FamB-118	118	103	2	223	3240	0.931172839506173
FamB_FamB-119	70	91	14	175	3240	0.945987654320988
FamB_FamB-120	65	98	16	179	3240	0.944753086419753
FamB_FamB-121	113	107	6	226	3240	0.930246913580247
FamB_FamB-122	70	93	21	184	3240	0.94320987654321
FamB_FamB-123	90	101	128	319	3240	0.901543209876543
FamB_FamB-124	83	97	18	198	3240	0.938888888888889
FamB_FamB-125	93	115	12	220	3240	0.932098765432099
FamB_FamB-126	81	80	10	171	3240	0.947222222222222
FamB_FamB-127	59	85	26	170	3240	0.947530864197531
FamB_FamB-128	66	91	4	161	3240	0.950308641975309
FamB_FamB-129	54	78	8	140	3240	0.95679012345679
FamB_FamB-130	81	85	2	168	3240	0.948148148148148
FamB_FamB-131	92	84	1	177	3240	0.94537037037037
FamB_FamB-132	93	106	386	585	3240	0.819444444444444
