rad_haplotyper -v FamB.recode.vcf -r reference.fasta -x 35 -d 10 -z 3 -m .5 -g FamB.gen -p FamB.popmap -t FamB.tsv -p1 FamB_FamB-059 -p2 FamB_FamB-194 -e
Locus	Sites	Haplotypes	Inds_Haplotyped	Total_Inds	Prop_Haplotyped	Status	Poss_Paralog	Low_Cov/Geno_Err	Miss_Geno	Comment
dDocent_Contig_100003	4	5	160	172	0.930	PASSED	5	2	5	
dDocent_Contig_100040	3	3	165	172	0.959	PASSED	6	0	1	
dDocent_Contig_100173	13	5	163	172	0.948	PASSED	8	1	0	
dDocent_Contig_10018	2	3	166	172	0.965	PASSED	5	0	1	
dDocent_Contig_100196	7	7	126	172	0.733	PASSED	32	7	7	
dDocent_Contig_100222	4	4	165	172	0.959	PASSED	7	0	0	
dDocent_Contig_100237	9	6	158	172	0.919	PASSED	4	2	8	
dDocent_Contig_10034	2	3	163	172	0.948	PASSED	7	0	2	
dDocent_Contig_10043	1	2	171	172	0.994	PASSED	0	0	1	
dDocent_Contig_100486	2	2	170	172	0.988	PASSED	0	1	1	
dDocent_Contig_100603	13	3	154	172	0.895	PASSED	1	14	3	
dDocent_Contig_10075	2	3	165	172	0.959	PASSED	6	0	1	
dDocent_Contig_100755	1	2	172	172	1.000	PASSED	0	0	0	
dDocent_Contig_100782	2	3	164	172	0.953	PASSED	5	2	1	
dDocent_Contig_10079	1	2	167	172	0.971	PASSED	0	0	5	
dDocent_Contig_100892	1	2	171	172	0.994	PASSED	0	0	1	
dDocent_Contig_10091	10	4	167	172	0.971	PASSED	4	1	0	
dDocent_Contig_100914	1	2	172	172	1.000	PASSED	0	0	0	
dDocent_Contig_10105	1	2	170	172	0.988	PASSED	0	0	2	
dDocent_Contig_101213	2	2	170	172	0.988	PASSED	1	1	0	
dDocent_Contig_101360	1	2	171	172	0.994	PASSED	0	0	1	
dDocent_Contig_101440	4	3	161	172	0.936	PASSED	5	4	2	
dDocent_Contig_101442	3	3	161	172	0.936	PASSED	10	1	0	
dDocent_Contig_101552	2	3	161	172	0.936	PASSED	4	1	6	
dDocent_Contig_10162	2	3	170	172	0.988	PASSED	0	2	0	
