"LOCUS" "LG_F" "POS_F" "LG_M" "POS_M"
"1" "dDocent_Contig_204687" 1 0 2 46.9493604940781
"2" "dDocent_Contig_34334" 2 0 NA NA
"3" "dDocent_Contig_121823" 3 0 NA NA
"4" "dDocent_Contig_43470" 4 0 NA NA
"5" "dDocent_Contig_180991" 5 0 NA NA
"6" "dDocent_Contig_9648" 6 0 NA NA
"7" "dDocent_Contig_68563" 8 0 NA NA
"8" "dDocent_Contig_1791" 9 0 7 61.0357786758009
"9" "dDocent_Contig_178965" 10 0 NA NA
"10" "dDocent_Contig_122687" 11 0 19 59.5709667534327
"11" "dDocent_Contig_140062" 12 0 NA NA
"12" "dDocent_Contig_712" 13 0 NA NA
"13" "dDocent_Contig_104281" 15 0 NA NA
"14" "dDocent_Contig_108626" 16 0 NA NA
"15" "dDocent_Contig_107037" 17 0 NA NA
"16" "dDocent_Contig_84748" 18 0 14 118.598829245199
"17" "dDocent_Contig_69393" 19 0 NA NA
"18" "dDocent_Contig_3588" 20 0 5 51.5162169200237
"19" "dDocent_Contig_295837" 21 0 NA NA
"20" "dDocent_Contig_131536" 22 0 NA NA
"21" "dDocent_Contig_16789" 23 0 16 12.0787210456968
"22" "dDocent_Contig_126887" 24 0 NA NA
"23" "dDocent_Contig_73951" 6 0 NA NA
"24" "dDocent_Contig_94580" 6 0 NA NA
"25" "dDocent_Contig_96906" 4 1.00000002822922e-07 12 1.24220270128748
"26" "dDocent_Contig_342606" 20 1.00000002822922e-07 NA NA
"27" "dDocent_Contig_3457" 4 2.00000005645844e-07 12 1.24220290128748
"28" "dDocent_Contig_36728" 4 3.00000008468766e-07 12 1.24220310128749
"29" "dDocent_Contig_37112" 4 4.00000011291688e-07 NA NA
"30" "dDocent_Contig_49287" 4 4.00000011291688e-07 NA NA
"31" "dDocent_Contig_15741" 5 0.575243990414215 NA NA
"32" "dDocent_Contig_107765" 16 0.575589736723581 NA NA
"33" "dDocent_Contig_9482" 11 0.580181984086011 NA NA
"34" "dDocent_Contig_20249" 11 0.580182084086014 19 59.5709673534327
"35" "dDocent_Contig_62716" 9 0.58956597315474 7 61.035780875801
"36" "dDocent_Contig_45005" 9 0.589566073154743 NA NA
"37" "dDocent_Contig_205084" 9 0.589566173154746 NA NA
"38" "dDocent_Contig_1023" 9 0.589566173154746 NA NA
"39" "dDocent_Contig_77680" 16 1.24698238145094 NA NA
"40" "dDocent_Contig_29817" 6 1.26080170022633 6 66.5248089105738
"41" "dDocent_Contig_92423" 9 1.26525670064437 NA NA
"42" "dDocent_Contig_12942" 9 1.26525670064437 NA NA
"43" "dDocent_Contig_29779" 5 1.593640455384 NA NA
"44" "dDocent_Contig_21964" 11 1.93868190155403 19 59.5709664534327
"45" "dDocent_Contig_49717" 11 1.93868200155403 19 59.5709665534327
"46" "dDocent_Contig_53933" 9 1.94094673282474 7 61.0357803758009
"47" "dDocent_Contig_201991" 9 1.94094683282474 7 61.0357788758009
"48" "dDocent_Contig_99337" 10 1.95498438705794 8 45.6172931300283
"49" "dDocent_Contig_74464" 10 1.95498448705795 NA NA
"50" "dDocent_Contig_91476" 10 1.95498458705795 NA NA
"51" "dDocent_Contig_29616" 20 2.05646550085347 5 51.5162164200237
"52" "dDocent_Contig_513" 5 2.61115249831413 NA NA
"53" "dDocent_Contig_59952" 5 2.61115259831413 17 93.0638547078844
"54" "dDocent_Contig_147850" 5 2.61115269831414 17 91.7439419120177
"55" "dDocent_Contig_4082" 6 2.62170431584081 6 66.5248093105738
"56" "dDocent_Contig_374350" 6 2.62170441584081 NA NA
