START_LOCUS	END_LOCUS	NUM_LOCI	COMP_CHR	COMP_START	COMP_END	COMP_SIZE	MAP_LG	MAP_START	MAP_END	MAP_SIZE
dDocent_Contig_5207	dDocent_Contig_96847	3	17	3114266	3522709	510710	11	6.76	9.92	3.16
dDocent_Contig_14391	dDocent_Contig_18330	3	17	4147648	3812519	528885	11	9.92	13.99	4.07
dDocent_Contig_31792	dDocent_Contig_116082	24	17	4429500	10876709	6447209	11	16.59	33.37	16.78
dDocent_Contig_104757	dDocent_Contig_74363	3	17	16517099	16837312	320213	11	36.88	41.75	4.87
dDocent_Contig_190056	dDocent_Contig_272119	3	17	14510691	15140828	630137	11	44.22	44.61	0.39
dDocent_Contig_8373	dDocent_Contig_182805	3	17	12058757	12890151	831394	11	45.77	50.9	5.13
dDocent_Contig_43813	dDocent_Contig_341717	2	17	15836444	15876177	39733	11	49.89	55.18	5.29
dDocent_Contig_32350	dDocent_Contig_276335	2	17	21115001	20769863	345138	11	55.97	58.94	2.97
dDocent_Contig_8219	dDocent_Contig_1655	2	17	19203069	19173852	29217	11	59.28	59.37	0.09
dDocent_Contig_24873	dDocent_Contig_28149	2	17	18230289	18439112	208823	11	64.05	63.74	0.31
dDocent_Contig_47979	dDocent_Contig_17190	2	24	13226206	12879634	346572	21	0	1.68	1.68
dDocent_Contig_14551	dDocent_Contig_2441	2	24	8289742	8351564	61822	21	19.57	19.57	0.00
dDocent_Contig_52792	dDocent_Contig_40114	3	24	9091627	9529607	437980	21	24.76	25.44	0.68
dDocent_Contig_10808	dDocent_Contig_46295	2	24	8760112	9052061	291949	21	26.62	26.62	0.00
dDocent_Contig_21187	dDocent_Contig_114662	2	24	1633206	1747129	113923	21	31.87	32.18	0.31
dDocent_Contig_53753	dDocent_Contig_50700	2	24	3696021	4898978	1202957	21	35.89	36.06	0.17
dDocent_Contig_23434	dDocent_Contig_80702	3	24	11437346	12042615	605269	21	36.22	37.14	1.25
dDocent_Contig_5035	dDocent_Contig_46718	3	24	5615498	6042705	427207	21	41.75	42.77	1.02
dDocent_Contig_3903	dDocent_Contig_14981	2	24	6659449	6808342	148893	21	47.4	47.4	0.00
dDocent_Contig_13269	dDocent_Contig_18700	3	24	2734341	2722451	52372	21	50.47	50.8	0.67
dDocent_Contig_157143	dDocent_Contig_3405	3	24	748338	433038	563816	21	50.64	53.02	2.38
dDocent_Contig_123246	dDocent_Contig_8508	2	12	2066135	2335602	269467	7	0	0	0.00
dDocent_Contig_33115	dDocent_Contig_22103	2	12	6604523	5064604	1539919	7	0	1.91	1.91
dDocent_Contig_5023	dDocent_Contig_4056	2	12	3498488	3747439	248951	7	5.25	5	0.25
dDocent_Contig_3156	dDocent_Contig_66601	7	12	7007679	9199720	2192041	7	6.59	10	3.41
dDocent_Contig_30404	dDocent_Contig_8174	2	12	11416193	11531366	115173	7	13.9	13.9	0.00
dDocent_Contig_117913	dDocent_Contig_45279	10	12	10275171	11196969	992001	7	14.05	17.01	2.96
dDocent_Contig_48412	dDocent_Contig_3891	6	12	12351094	13394417	1197704	7	18.25	23.98	5.73
dDocent_Contig_3406	dDocent_Contig_16173	4	12	14199736	15083294	1166024	7	24.09	27.4	3.31
dDocent_Contig_145685	dDocent_Contig_1101	2	12	15580560	15582313	1753	7	28.84	29.95	1.11
