START_LOCUS	END_LOCUS	NUM_LOCI	COMP_CHR	COMP_START	COMP_END	COMP_SIZE	MAP_LG	MAP_START	MAP_END	MAP_SIZE
dDocent_Contig_96847	dDocent_Contig_18330	2	14	1114819	1196809	81990	11	9.92	13.99	4.07
dDocent_Contig_10459	dDocent_Contig_30539	2	14	8460231	8721249	261018	11	16.59	16.59	0.00
dDocent_Contig_24110	dDocent_Contig_124034	3	14	7360491	7449891	117199	11	22.67	22.67	0.00
dDocent_Contig_255823	dDocent_Contig_116082	3	14	6983115	5510044	1473071	11	25.25	33.37	8.12
dDocent_Contig_69792	dDocent_Contig_341717	2	14	2452222	4002959	1550737	11	49.89	55.18	5.29
dDocent_Contig_10808	dDocent_Contig_1408	2	3	4931078	6432130	1501052	21	26.62	28.16	1.54
dDocent_Contig_63807	dDocent_Contig_46718	2	3	4087914	3413296	674618	21	40.85	42.77	1.92
dDocent_Contig_3405	dDocent_Contig_138223	2	3	1554157	1506441	47716	21	53.02	53.02	0.00
dDocent_Contig_33115	dDocent_Contig_4056	3	10	2375131	1204186	1170945	7	0	5	5.00
dDocent_Contig_100682	dDocent_Contig_244722	4	10	3193045	4767798	1574753	7	6.9	10.5	3.91
dDocent_Contig_176482	dDocent_Contig_45279	7	10	5175639	5780752	722266	7	14.44	17.01	2.96
dDocent_Contig_48412	dDocent_Contig_1101	6	10	6430791	8538130	2107339	7	18.25	29.95	11.70
dDocent_Contig_56197	dDocent_Contig_19641	3	10	11402519	12237630	835111	7	32.47	43.44	10.97
dDocent_Contig_17099	dDocent_Contig_28840	8	17	999658	4647985	3648327	2	13	24.41	11.41
dDocent_Contig_91457	dDocent_Contig_9113	2	17	7185493	6455183	730310	2	30.92	33.22	2.30
dDocent_Contig_55137	dDocent_Contig_355	3	17	10254963	10419642	164679	2	46.01	48.23	2.22
dDocent_Contig_8251	dDocent_Contig_11186	3	17	9883188	9227890	655298	2	49.89	53.27	3.38
dDocent_Contig_21593	dDocent_Contig_18354	5	21	5824042	4694817	1129225	22	8.34	22.06	13.72
dDocent_Contig_5748	dDocent_Contig_205530	2	21	4144007	4461141	317134	22	25.13	27.27	2.14
dDocent_Contig_107634	dDocent_Contig_26423	2	21	1921872	1754129	167743	22	38.58	42.78	4.20
dDocent_Contig_241945	dDocent_Contig_27826	4	21	2094601	2125081	71517	22	47.96	59.13	11.50
dDocent_Contig_57444	dDocent_Contig_143482	4	11	9908738	10283694	374956	1	13.88	13.88	0.00
dDocent_Contig_62	dDocent_Contig_23083	2	11	1640140	1762401	122261	1	14.56	14.56	0.00
dDocent_Contig_38328	dDocent_Contig_4687	4	11	9564189	6371390	3192799	1	19.82	26.99	7.17
dDocent_Contig_5819	dDocent_Contig_371261	2	11	4236472	4716161	479689	1	30.97	30.97	0.00
dDocent_Contig_12514	dDocent_Contig_24578	4	11	3437051	3881428	444377	1	33.64	39.79	6.15
dDocent_Contig_11122	dDocent_Contig_265782	8	19	6909144	4774407	2237232	18	10.72	33.44	22.72
dDocent_Contig_32458	dDocent_Contig_4533	2	19	3300681	3431757	131076	18	35.19	35.19	0.00
dDocent_Contig_165225	dDocent_Contig_200778	2	19	1301428	1004442	296986	18	69.38	71.39	2.01
dDocent_Contig_385543	dDocent_Contig_12068	2	19	2493517	2616016	122499	18	71.39	71.39	0.00
dDocent_Contig_149738	dDocent_Contig_7326	2	2	21357378	20683496	673882	13	1.4	3.56	2.16
dDocent_Contig_108413	dDocent_Contig_56302	11	2	19041011	13297953	5796749	13	8.69	31.6	22.91
dDocent_Contig_176684	dDocent_Contig_37671	5	2	12840784	10211263	2629521	13	32.31	45.8	13.49
dDocent_Contig_327	dDocent_Contig_73664	4	2	19916181	20604867	688686	13	47.04	53.18	6.14
dDocent_Contig_13164	dDocent_Contig_103448	3	2	9478423	8941789	655503	13	53.81	55.56	1.75
dDocent_Contig_118495	dDocent_Contig_238701	2	8	1262158	1259004	3154	16	9.63	9.63	0.00
dDocent_Contig_93946	dDocent_Contig_202930	2	8	6274571	5677087	597484	16	24	24.31	0.31
dDocent_Contig_53396	dDocent_Contig_52143	2	8	7065478	6570996	494482	16	27.87	28.59	0.72
dDocent_Contig_189298	dDocent_Contig_219013	3	8	7781487	8230817	506277	16	31.06	33.12	2.06
dDocent_Contig_58288	dDocent_Contig_16160	2	8	9295165	9567597	272432	16	33.8	36.98	3.18
dDocent_Contig_246412	dDocent_Contig_2375	2	9	9438108	9862463	424355	23	9.89	10.04	0.15
dDocent_Contig_52023	dDocent_Contig_89624	4	9	9405550	8431836	1063514	23	10.6	17.45	6.85
dDocent_Contig_342733	dDocent_Contig_33242	4	9	8029758	7751651	278107	23	20.18	21.93	1.75
dDocent_Contig_39883	dDocent_Contig_8987	5	9	6363246	4008136	2413012	23	26.4	31.82	5.42
dDocent_Contig_26725	dDocent_Contig_27344	4	9	2601197	2940760	448037	23	34.72	35.77	1.05
dDocent_Contig_24007	dDocent_Contig_41980	2	12	11027079	11654519	627440	6	4.22	6.58	2.36
