COMP_SPECIES	START_LOCUS	END_LOCUS	NUM_LOCI	COMP_CHR	COMP_START	COMP_END	COMP_SIZE	MAP_LG	MAP_START	MAP_STOP	MAP_SIZE	MEAN_DIST_LOCI	
onil	dDocent_Contig_19606	dDocent_Contig_20111	7	7	578476	5481373	4902897	24	0	0	0	700414	
onil	dDocent_Contig_63407	dDocent_Contig_1580	4	11	27769611	31947348	4177737	16	68.23	68.23	0	1044434	
lcal	dDocent_Contig_2375	dDocent_Contig_74727	2	6	23741611	27553948	3812337	23	10.04	10.04	0	1906169	
gacu	dDocent_Contig_103135	dDocent_Contig_70736	5	19	656516	3691092	3099315	24	0	0	0	619863	
dlab	dDocent_Contig_20111	dDocent_Contig_14449	7	6	23715755	26469341	2854168	24	0	0	0	407738	
onil	dDocent_Contig_311699	dDocent_Contig_28835	2	22	173024	2726683	2553659	22	56.43	56.43	0	1276830	
onil	dDocent_Contig_17168	dDocent_Contig_14875	2	19	5284995	7634839	2349844	7	50.33	50.33	0	1174922	
onil	dDocent_Contig_239372	dDocent_Contig_159109	3	16	18152865	20479131	2326266	13	25.88	25.88	0	775422	
lcal	dDocent_Contig_20111	dDocent_Contig_14449	8	10	23893363	26159972	2266609	24	0	0	0	283326	
lcal	dDocent_Contig_123246	dDocent_Contig_8508	2	19	691148	2823217	2132069	7	0	0	0	1066035	
onil	dDocent_Contig_1291	dDocent_Contig_15153	3	5	24237942	26263587	2025645	1	30.97	30.97	0	675215	
gacu	dDocent_Contig_286764	dDocent_Contig_9265	4	20	14410336	16369171	1958835	16	58.84	58.84	0	489709	
dlab	dDocent_Contig_143482	dDocent_Contig_164687	6	1A	7912183	9870397	1958214	1	13.88	13.88	0	326369	
lcal	dDocent_Contig_208354	dDocent_Contig_12934	8	15	3490949	5364296	1920848	16	58.84	58.84	0	240106	
onil	dDocent_Contig_56128	dDocent_Contig_198003	2	16	28941555	30843222	1901667	13	16.56	16.56	0	950834	
lcal	dDocent_Contig_43221	dDocent_Contig_61119	3	6	4053921	5883928	1830007	23	44.58	44.58	0	610002	
dlab	dDocent_Contig_36090	dDocent_Contig_43221	2	22-25	20671660	22346254	1674594	23	44.58	44.58	0	837297	
onil	dDocent_Contig_10881	dDocent_Contig_24578	3	5	30368860	31780075	1572216	1	39.79	39.79	0	524072	
dlab	dDocent_Contig_86268	dDocent_Contig_7987	5	1A	17884646	19302727	1418081	1	30.97	30.97	0	283616	
lcal	dDocent_Contig_198003	dDocent_Contig_56128	2	1	9956006	11367289	1411283	13	16.56	16.56	0	705642	
lcal	dDocent_Contig_1776	dDocent_Contig_62766	3	6	10158998	11503166	1344168	23	35.77	35.77	0	448056	
onil	dDocent_Contig_60276	dDocent_Contig_113893	3	19	23654339	24972682	1318343	7	52.99	52.99	0	439448	
onil	dDocent_Contig_397105	dDocent_Contig_41980	2	12	3089578	4407051	1317473	6	6.58	6.58	0	658737	
dlab	dDocent_Contig_9265	dDocent_Contig_149785	3	16	633253	1942198	1308945	16	58.84	58.84	0	436315	
lcal	dDocent_Contig_85692	dDocent_Contig_40726	2	11	21655992	22942145	1286153	19	3.78	3.78	0	643077	
lcal	dDocent_Contig_62487	dDocent_Contig_111577	5	3	16919425	18187413	1267988	22	59.13	59.13	0	253598	
onil	dDocent_Contig_10459	dDocent_Contig_48005	4	15	24029825	25283549	1253724	11	16.59	16.59	0	313431	
lcal	dDocent_Contig_378878	dDocent_Contig_63407	5	15	998778	2197057	1208389	16	68.23	68.23	0	241678	
lcal	dDocent_Contig_23004	dDocent_Contig_172657	7	12	5631427	6554508	1127443	1	47.61	47.61	0	161063	
lcal	dDocent_Contig_53181	dDocent_Contig_6714	3	3	18785386	19841793	1056407	22	59.13	59.13	0	352136	
onil	dDocent_Contig_149785	dDocent_Contig_286764	2	11	25219899	26252060	1032161	16	58.84	58.84	0	516081	
lcal	dDocent_Contig_10459	dDocent_Contig_31792	6	7_1	17371802	18403802	1032000	11	16.59	16.59	0	172000	
lcal	dDocent_Contig_221197	dDocent_Contig_24841	2	5	7276980	8294502	1017522	4	66.53	66.53	0	508761	
dlab	dDocent_Contig_221197	dDocent_Contig_24841	2	7	22600434	23617404	1016970	4	66.53	66.53	0	508485	
lcal	dDocent_Contig_221942	dDocent_Contig_119334	2	17	12348380	13364961	1016581	12	26.72	26.72	0	508291	
gacu	dDocent_Contig_121559	dDocent_Contig_52549	3	2	8323919	9331607	1007688	20	37.13	37.13	0	335896	
lcal	dDocent_Contig_5207	dDocent_Contig_187281	2	7_1	19919674	20906700	987026	11	6.76	6.76	0	493513	
onil	dDocent_Contig_17365	dDocent_Contig_2335	3	8	4334577	5298009	963432	15	58.76	58.76	0	321144	
onil	dDocent_Contig_11136	dDocent_Contig_16925	3	8	3237405	4188575	951170	15	60.77	60.77	0	317057	
onil	dDocent_Contig_79351	dDocent_Contig_61319	2	9	2259585	3192257	932672	8	15.92	15.92	0	466336	
onil	dDocent_Contig_39327	dDocent_Contig_95051	3	8	2545373	3453334	907961	15	73.68	73.68	0	302654	
lcal	dDocent_Contig_339791	dDocent_Contig_68700	2	24	7458807	8347387	888580	8	22.73	22.73	0	444290	
