LOCUS LG POS
dDocent_Contig_326075 1 0
dDocent_Contig_5988 1 2.00000000000001
dDocent_Contig_39959 1 2.00000000000001
dDocent_Contig_204687 1 2.04000000000001
dDocent_Contig_18848 1 6.26
dDocent_Contig_33993 1 6.97
dDocent_Contig_17882 1 6.97
dDocent_Contig_7027 1 9.72
dDocent_Contig_21342 1 9.84999999999999
dDocent_Contig_13043 1 9.84999999999999
dDocent_Contig_279710 1 10.49
dDocent_Contig_307589 1 10.81
dDocent_Contig_172925 1 10.81
dDocent_Contig_322157 1 10.81
dDocent_Contig_101087 1 10.81
dDocent_Contig_102406 1 10.81
dDocent_Contig_235337 1 10.81
dDocent_Contig_28801 1 10.81
dDocent_Contig_32522 1 10.81
dDocent_Contig_1897 1 10.81
dDocent_Contig_6590 1 10.81
dDocent_Contig_67724 1 10.81
dDocent_Contig_144097 1 10.81
dDocent_Contig_1574 1 10.81
dDocent_Contig_463 1 10.81
dDocent_Contig_266305 1 10.81
dDocent_Contig_143482 1 10.81
dDocent_Contig_88873 1 10.81
dDocent_Contig_651 1 10.81
dDocent_Contig_57444 1 10.81
dDocent_Contig_7795 1 10.81
dDocent_Contig_154408 1 10.81
dDocent_Contig_7040 1 11.76
dDocent_Contig_46447 1 12.1
dDocent_Contig_16852 1 12.34
dDocent_Contig_19759 1 12.58
dDocent_Contig_111455 1 13.06
dDocent_Contig_2393 1 14.03
dDocent_Contig_51033 1 19.68
dDocent_Contig_95435 1 19.68
dDocent_Contig_48356 1 19.68
dDocent_Contig_97115 1 19.68
dDocent_Contig_164687 1 19.83
dDocent_Contig_65968 1 19.83
dDocent_Contig_11280 1 19.83
dDocent_Contig_56290 1 19.83
dDocent_Contig_23083 1 19.83
dDocent_Contig_109437 1 19.83
dDocent_Contig_62 1 19.83
dDocent_Contig_52162 1 19.83
dDocent_Contig_11578 1 19.83
dDocent_Contig_238996 1 19.83
dDocent_Contig_55516 1 19.83
dDocent_Contig_4135 1 19.83
dDocent_Contig_22268 1 19.83
dDocent_Contig_4687 1 19.83
dDocent_Contig_158022 1 19.83
dDocent_Contig_19111 1 19.83
dDocent_Contig_14211 1 19.83
dDocent_Contig_168364 1 19.83
dDocent_Contig_33316 1 19.83
dDocent_Contig_358712 1 19.83
dDocent_Contig_128208 1 19.83
dDocent_Contig_228023 1 22.86
dDocent_Contig_319646 1 25.71
dDocent_Contig_37660 1 25.71
dDocent_Contig_274674 1 25.71
dDocent_Contig_320578 1 25.71
dDocent_Contig_2268 1 25.71
dDocent_Contig_12343 1 25.71
dDocent_Contig_2275 1 25.71
dDocent_Contig_38328 1 25.71
dDocent_Contig_66871 1 27.32
dDocent_Contig_139762 1 27.32
dDocent_Contig_92949 1 27.32
dDocent_Contig_370902 1 27.32
dDocent_Contig_352327 1 27.61
dDocent_Contig_87617 1 29.9
dDocent_Contig_68388 1 30.21
dDocent_Contig_15840 1 30.54
dDocent_Contig_34680 1 31.19
dDocent_Contig_35436 1 31.83
dDocent_Contig_6914 1 31.83
dDocent_Contig_49867 1 32.8
dDocent_Contig_32216 1 32.8
dDocent_Contig_293474 1 32.88
dDocent_Contig_15153 1 34.89
dDocent_Contig_195472 1 35.38
dDocent_Contig_86268 1 36.74
dDocent_Contig_7987 1 37
dDocent_Contig_69240 1 38.2
dDocent_Contig_39676 1 38.43
dDocent_Contig_303763 1 38.62
dDocent_Contig_1291 1 38.99
dDocent_Contig_339848 1 38.99
dDocent_Contig_31111 1 40.57
dDocent_Contig_53428 1 40.57
dDocent_Contig_117373 1 40.57
dDocent_Contig_371261 1 40.58
dDocent_Contig_18304 1 41.37
dDocent_Contig_5819 1 41.43
dDocent_Contig_7928 1 43.49
dDocent_Contig_9130 1 43.49
dDocent_Contig_201222 1 43.49
dDocent_Contig_12514 1 43.49
dDocent_Contig_32568 1 43.49
dDocent_Contig_4919 1 43.49
dDocent_Contig_44713 1 43.49
dDocent_Contig_56538 1 44.28
dDocent_Contig_3398 1 44.28
dDocent_Contig_49041 1 44.28
dDocent_Contig_311739 1 45.77
dDocent_Contig_8169 1 45.77
dDocent_Contig_4064 1 45.77
dDocent_Contig_356691 1 45.77
dDocent_Contig_18164 1 47.63
dDocent_Contig_10881 1 50.89
dDocent_Contig_146193 1 50.89
dDocent_Contig_112195 1 51.66
dDocent_Contig_24578 1 51.66
dDocent_Contig_5242 1 51.66
dDocent_Contig_172657 1 53.31
dDocent_Contig_76890 1 53.31
dDocent_Contig_17439 1 55.01
dDocent_Contig_85295 1 56.15
dDocent_Contig_13842 1 56.9
dDocent_Contig_83043 1 57.93
dDocent_Contig_61661 1 58.1
dDocent_Contig_19123 1 58.74
dDocent_Contig_38071 1 59.23
dDocent_Contig_77555 1 60.19
dDocent_Contig_161242 1 60.21
dDocent_Contig_6740 1 60.21
dDocent_Contig_366527 1 60.21
dDocent_Contig_47619 1 60.21
dDocent_Contig_16298 1 60.21
dDocent_Contig_65613 1 60.21
dDocent_Contig_66465 1 60.21
dDocent_Contig_11681 1 61.65
dDocent_Contig_28819 1 61.65
dDocent_Contig_34189 1 61.65
dDocent_Contig_104202 1 61.65
dDocent_Contig_56892 1 61.65
dDocent_Contig_23004 1 61.65
dDocent_Contig_38631 1 61.65
dDocent_Contig_52743 1 61.71
dDocent_Contig_29138 1 64.93
dDocent_Contig_165900 1 65.14
dDocent_Contig_322 1 65.14
dDocent_Contig_117908 1 65.28
dDocent_Contig_183753 1 65.49
dDocent_Contig_8966 1 66.57
dDocent_Contig_2151 1 66.88
dDocent_Contig_12156 1 66.88
dDocent_Contig_10018 1 69.23
dDocent_Contig_16360 1 69.23
dDocent_Contig_197038 1 69.23
dDocent_Contig_38654 1 69.23
dDocent_Contig_331676 1 69.44
dDocent_Contig_256241 1 70.49
dDocent_Contig_90638 1 71.13
dDocent_Contig_12373 1 71.29
dDocent_Contig_178549 1 71.45
dDocent_Contig_1155 1 71.84
dDocent_Contig_34792 1 72.8
dDocent_Contig_16249 1 73.22
dDocent_Contig_1577 1 74.68
dDocent_Contig_396202 1 74.68
dDocent_Contig_201792 1 74.68
dDocent_Contig_256167 1 74.68
dDocent_Contig_66356 1 74.68
dDocent_Contig_49431 1 75.64
dDocent_Contig_147380 1 76.08
dDocent_Contig_3323 1 76.92
dDocent_Contig_166075 1 76.92
dDocent_Contig_46775 1 76.93
dDocent_Contig_200617 1 76.93
dDocent_Contig_321056 1 76.93
dDocent_Contig_123426 1 76.93
dDocent_Contig_9 1 77.21
dDocent_Contig_46589 1 77.56
dDocent_Contig_23860 1 77.56
dDocent_Contig_112837 1 77.57
dDocent_Contig_21235 1 79.3
dDocent_Contig_68004 1 79.3
dDocent_Contig_47941 1 81.66
dDocent_Contig_327586 1 84.28
dDocent_Contig_159219 1 102.52
dDocent_Contig_73951 10 0
dDocent_Contig_9648 10 0
dDocent_Contig_94580 10 0.320000000000007
dDocent_Contig_29817 10 1.61
dDocent_Contig_349748 10 2.26000000000001
dDocent_Contig_4555 10 2.90000000000001
dDocent_Contig_71327 10 2.90000000000001
dDocent_Contig_4082 10 2.90000000000001
dDocent_Contig_374350 10 2.90000000000001
dDocent_Contig_35019 10 2.93000000000001
dDocent_Contig_245481 10 10.91
dDocent_Contig_11094 10 10.91
dDocent_Contig_86606 10 18.96
dDocent_Contig_6727 10 18.96
dDocent_Contig_7091 10 18.96
dDocent_Contig_220734 10 18.96
dDocent_Contig_113253 10 18.96
dDocent_Contig_102870 10 18.96
dDocent_Contig_364388 10 18.96
dDocent_Contig_162769 10 18.96
dDocent_Contig_79351 10 18.96
dDocent_Contig_258505 10 21.32
dDocent_Contig_4137 10 21.32
dDocent_Contig_35267 10 21.89
dDocent_Contig_240437 10 21.89
dDocent_Contig_85639 10 21.89
dDocent_Contig_50697 10 21.89
dDocent_Contig_22259 10 21.89
dDocent_Contig_58808 10 21.89
dDocent_Contig_5786 10 21.89
dDocent_Contig_51600 10 21.89
dDocent_Contig_34526 10 21.96
dDocent_Contig_16583 10 24.57
dDocent_Contig_95836 10 26.81
