START_LOCUS	END_LOCUS	NUM_LOCI	COMP_CHR	COMP_START	COMP_END	COMP_SIZE	MAP_LG	MAP_START	MAP_END	MAP_SIZE
dDocent_Contig_187281	dDocent_Contig_5207	3	2	7101426	7759010	657584	11	6.76	6.76	0.00
dDocent_Contig_236367	dDocent_Contig_5401	2	2	5746870	6824278	1077408	11	8.38	8.69	0.31
dDocent_Contig_56798	dDocent_Contig_152405	2	2	7682519	8067930	385411	11	9.31	9.3	0.01
dDocent_Contig_14391	dDocent_Contig_70827	4	2	618697	825202	269919	11	9.92	10.85	0.93
dDocent_Contig_31792	dDocent_Contig_7065	7	2	913102	2141136	1228034	11	16.59	19.64	3.05
dDocent_Contig_89	dDocent_Contig_101762	11	2	3136737	4417723	1361115	11	21.32	25.33	4.01
dDocent_Contig_19168	dDocent_Contig_56340	8	2	14832864	15320911	681536	11	25.25	27.02	2.02
dDocent_Contig_31290	dDocent_Contig_229737	2	2	16628953	16727207	98254	11	28.86	29.53	0.67
dDocent_Contig_59488	dDocent_Contig_958	7	2	14614056	13849656	764400	11	30.44	34.21	3.77
dDocent_Contig_104757	dDocent_Contig_25556	2	2	11890868	12043358	152490	11	36.88	36.88	0.00
dDocent_Contig_382081	dDocent_Contig_6698	2	2	12936604	12869502	67102	11	37.11	37.73	0.62
dDocent_Contig_59935	dDocent_Contig_74363	2	2	11966440	12165997	199557	11	37.55	41.75	4.20
dDocent_Contig_190056	dDocent_Contig_272119	4	2	11189583	10676723	640591	11	44.22	44.61	0.39
dDocent_Contig_8373	dDocent_Contig_126668	4	2	8337140	9056311	719171	11	45.77	45.77	0.00
dDocent_Contig_65087	dDocent_Contig_43813	2	2	10402449	10211307	191142	11	45.77	49.89	4.12
dDocent_Contig_69792	dDocent_Contig_182805	2	2	8812155	8942391	130236	11	49.89	50.9	1.01
dDocent_Contig_197457	dDocent_Contig_15214	3	2	17565355	18256555	691200	11	51.02	54.42	3.40
dDocent_Contig_32350	dDocent_Contig_276335	2	2	18340192	18124895	215297	11	55.97	58.94	2.97
dDocent_Contig_15415	dDocent_Contig_19697	2	2	17066487	17077857	11370	11	59.28	59.28	0.00
dDocent_Contig_8219	dDocent_Contig_79376	3	2	18568726	18903518	334792	11	59.28	59.28	0.09
dDocent_Contig_9250	dDocent_Contig_212542	2	2	19104399	19169922	65523	11	61.55	61.55	0.00
dDocent_Contig_209851	dDocent_Contig_138918	2	2	10385578	10626585	241007	11	63.89	63.89	0.00
dDocent_Contig_28149	dDocent_Contig_24873	2	2	19138239	19242720	104481	11	63.74	64.05	0.31
dDocent_Contig_17190	dDocent_Contig_154959	2	14	1334084	1777841	443757	21	1.68	8.79	7.11
dDocent_Contig_202281	dDocent_Contig_31850	4	14	7600223	7571009	49438	21	19.57	22.66	3.09
dDocent_Contig_40114	dDocent_Contig_362956	3	14	6526225	6632087	225161	21	25.44	26.31	0.87
dDocent_Contig_46295	dDocent_Contig_10808	2	14	6947615	7202853	255238	21	26.62	26.62	0.00
dDocent_Contig_2638	dDocent_Contig_1408	2	14	6493756	5608320	885436	21	26.92	28.16	1.24
dDocent_Contig_30678	dDocent_Contig_125660	3	14	3267972	3734941	466969	21	30.16	30.16	0.00
dDocent_Contig_21187	dDocent_Contig_114662	2	14	2901551	2791161	110390	21	31.87	32.18	0.31
dDocent_Contig_236388	dDocent_Contig_15689	2	14	4322043	4377467	55424	21	33.1	33.72	0.62
dDocent_Contig_10429	dDocent_Contig_128885	2	14	8617654	8591760	25894	21	33.87	33.87	0.00
dDocent_Contig_33630	dDocent_Contig_23434	2	14	29452	199409	169957	21	35.89	36.22	0.33
dDocent_Contig_80702	dDocent_Contig_360054	2	14	558424	463990	94434	21	37.14	38.07	0.93
dDocent_Contig_1613	dDocent_Contig_30634	2	14	730002	926366	196364	21	37.75	38.67	0.92
dDocent_Contig_8341	dDocent_Contig_50172	2	14	2348626	2381993	33367	21	39.92	39.92	0.00
dDocent_Contig_168096	dDocent_Contig_27828	2	14	8085090	8224180	139090	21	42.08	41.91	0.17
dDocent_Contig_255676	dDocent_Contig_46718	2	14	7976483	7974698	1785	21	42.41	42.77	0.36
dDocent_Contig_14981	dDocent_Contig_157143	7	14	8697504	8982694	811493	21	47.4	50.64	3.31
dDocent_Contig_18700	dDocent_Contig_27406	3	14	9517686	10098028	580342	21	50.8	52.71	1.91
dDocent_Contig_3405	dDocent_Contig_118429	4	14	10345624	10443680	146282	21	53.02	52.71	0.31
dDocent_Contig_33115	dDocent_Contig_17281	2	8	15417181	15682223	265042	7	0	0	0.00
