species	chrom	length
drer	10	46591166
drer	11	46661319
drer	12	50697278
drer	13	54093808
drer	14	53733891
drer	15	47442429
drer	16	58780683
drer	17	53984731
drer	18	49877488
drer	19	50254551
drer	1	60348388
drer	20	55952140
drer	21	44544065
drer	22	42261000
drer	23	46386876
drer	24	43947580
drer	25	38499472
drer	2	60300536
drer	3	63268876
drer	4	62094675
drer	5	75682077
drer	6	59938731
drer	7	77276063
drer	8	56184765
drer	9	58232459
gacu	1	28185914
gacu	2	23295652
gacu	3	16798506
gacu	4	32632948
gacu	22	20249479
gacu	23	15742
gacu	Un	62550211
gacu	5	12251397
gacu	6	17083675
gacu	7	27937443
gacu	8	19368704
gacu	10	15657440
gacu	11	16706052
gacu	12	18401067
gacu	13	20083130
gacu	14	15246461
gacu	19	20240660
gacu	15	16198764
gacu	16	18115788
gacu	17	14603141
gacu	18	16282716
gacu	20	19732071
gacu	21	11717487
onil	10	17092887
onil	11	33447472
onil	12	34679706
onil	13	32787261
onil	14	34191023
onil	15	26684556
onil	16	34890008
onil	17	31749960
onil	18	26198306
onil	19	27159252
onil	1	31194787
onil	20	31470686
onil	22	26410405
onil	23	20779993
onil	2	25048291
onil	3	19325363
onil	4	28679955
onil	5	37389089
onil	6	36725243
onil	7	51042256
onil	8	29447820
onil	9	20956653
tnig	10	13272281
tnig	11	11954808
tnig	12	12622881
tnig	13	13302670
tnig	14	10246949
tnig	15	7320470
tnig	16	9031048
tnig	17	12136232
tnig	18	11077504
tnig	19	7272499
tnig	1	22981688
tnig	20	3798727
tnig	21	5834722
tnig	2	21591555
tnig	3	15489435
tnig	4	9874776
tnig	5	13390619
tnig	6	7024381
tnig	7	11693588
tnig	8	10512681
tnig	9	10554956
trub	10	9126174
trub	11	11238946
trub	12	10661439
trub	13	16952093
trub	14	12328026
trub	15	11516971
trub	16	10310320
trub	17	11184067
trub	18	8053132
trub	19	14185242
trub	1	23260604
trub	20	13411851
trub	21	14900632
trub	22	11609757
trub	2	11407286
trub	3	13093193
trub	4	13818948
trub	5	12184708
trub	6	9412079
trub	7	14304132
trub	8	14690302
trub	9	13922460
dlab	10     24053896
dlab	11     26215200
dlab	12     23234908
dlab	13     27622843
dlab	14     28395245
dlab	15     25566315
dlab	16     25821574
dlab	17     22893611
dlab	18-21  16453912
dlab	19     23202889
dlab	1A     29036788
dlab	1B     17995764
dlab	2      26218737
dlab	20     28398722
dlab	22-25  26439989
dlab	24     13918872
dlab	3      13451259
dlab	4      27569954
dlab	5      32612477
dlab	6      28185029
dlab	7      28480941
dlab	8      23067096
dlab	9      22362490
dlab	x      17779090
lcal	23	18168282
lcal	4	25538952
lcal	12	27842965
lcal	24	19811778
lcal	8	25919959
lcal	3	23499962
lcal	17	27673719
lcal	1	25703306
lcal	21	28676982
lcal	5	28963731
lcal	10	27937307
lcal	11	23293155
lcal	19	24524913
lcal	13	27244013
lcal	7_1	23258384
lcal	7_2	13910880
lcal	2	30394535
lcal	6	27924252
lcal	15	30776907
lcal	18	19193443
lcal	9	22990584
lcal	20	23753645
lcal	16-22	25848596
lcal	14	14073782
