LOCUS	LEFT_LOCUS	RIGHT_LOCUS	LEFT_POS	RIGHT_POS	SUPPORT	INTERVAL_SIZE	LG
384404615	dDocent_Contig_35440	dDocent_Contig_326641	42.03	40.62	tnig,onil	1.41	7
gi|226069294|dbj|AB459287.1|	dDocent_Contig_84428	dDocent_Contig_252480	31.31	31.31	gacu,lcal,poli	0	8
118772662	dDocent_Contig_36018	dDocent_Contig_306534	20.73	21.34	dlab,poli	0.609999999999999	8
78229182	dDocent_Contig_347143	dDocent_Contig_5372	23.11	18.01	trub,tnig,onil	5.1	18
109177457	dDocent_Contig_139762	dDocent_Contig_92949	21.36	23.58	lcal,trub,tnig,onil,dlab	2.22	1
78229457	dDocent_Contig_69473	dDocent_Contig_206778	30.96	30.45	trub,poli	0.510000000000002	19
949176211	dDocent_Contig_19606	dDocent_Contig_118656	0	0	onil,poli	0	24
gi|6970352|dbj|AB037989.1|	dDocent_Contig_30077	dDocent_Contig_24383	12.72	14.58	lcal,trub,onil	1.86	12
384404750	dDocent_Contig_51314	dDocent_Contig_73600	53.56	52.81	lcal,tnig,poli	0.75	10
78226916	dDocent_Contig_151317	dDocent_Contig_179549	18.85	17.95	gacu,lcal,tnig,onil,dlab,poli	0.900000000000002	19
384405731	dDocent_Contig_18636	dDocent_Contig_72018	26.62	27.28	gacu,onil,dlab	0.66	5
78228111	dDocent_Contig_21421	dDocent_Contig_213977	53.2	51.88	poli	1.32	14
384404433	dDocent_Contig_48972	dDocent_Contig_308023	41.96	39.18	lcal,onil,dlab,poli	2.78	4
384404625	dDocent_Contig_35440	dDocent_Contig_326641	42.03	40.62	onil	1.41	7
118772485	dDocent_Contig_10881	dDocent_Contig_24578	39.79	39.79	onil	0	1
gi|226022727|dbj|AB458938.1|	dDocent_Contig_164687	dDocent_Contig_23083	13.88	14.56	onil,dlab	0.68	1
115383046	dDocent_Contig_13907	dDocent_Contig_37115	12.09	12.93	lcal,trub,poli	0.84	23
384404634	dDocent_Contig_22103	dDocent_Contig_33115	1.91	0	lcal	1.91	7
118772499	dDocent_Contig_1425	dDocent_Contig_86305	30.33	30.33	gacu,onil,dlab,poli	0	20
384405503	dDocent_Contig_3782	dDocent_Contig_44561	35.33	36.56	onil,dlab	1.23	7
384404506	dDocent_Contig_189298	dDocent_Contig_37785	31.06	31.28	onil	0.220000000000002	16
78227524	dDocent_Contig_32831	dDocent_Contig_93991	23.87	21.91	lcal,tnig	1.96	6
78227500	dDocent_Contig_152786	dDocent_Contig_54366	42.48	41.47	dlab,poli	1.01	3
384405099	dDocent_Contig_305597	dDocent_Contig_75804	29.42	30.65	lcal,onil,dlab,poli	1.23	8
118772558	dDocent_Contig_8769	dDocent_Contig_91457	32.63	30.92	gacu,lcal,trub,tnig,onil,dlab,poli	1.71	2
384404825	dDocent_Contig_18636	dDocent_Contig_72018	26.62	27.28	dlab	0.66	5
118772344	dDocent_Contig_182167	dDocent_Contig_16645	46.54	46.94	dlab,poli	0.399999999999999	17
109176271	dDocent_Contig_18636	dDocent_Contig_72018	26.62	27.28	gacu,trub,onil,dlab	0.66	5
gi|205361346|dbj|AB459451.1|	dDocent_Contig_257318	dDocent_Contig_39799	30.94	31.55	lcal,poli	0.609999999999999	12
78226713	dDocent_Contig_55414	dDocent_Contig_329394	24.6	25.37	dlab	0.77	3
384404521	dDocent_Contig_9237	dDocent_Contig_378878	58.84	68.23	trub	9.39	16
384404980	dDocent_Contig_21697	dDocent_Contig_327203	28.37	27.45	lcal,poli	0.920000000000002	18
384404955	dDocent_Contig_40645	dDocent_Contig_11249	7.11	10.6	poli	3.49	23
78230262	dDocent_Contig_23884	dDocent_Contig_24688	61.84	61.17	lcal,dlab,poli	0.670000000000002	6
384404739	dDocent_Contig_51314	dDocent_Contig_73600	53.56	52.81	poli	0.75	10
78227486	dDocent_Contig_75370	dDocent_Contig_1633	36.55	31.1	gacu	5.45	4
384404834	dDocent_Contig_35078	dDocent_Contig_44547	25.28	25.61	poli	0.329999999999998	5
109176654	dDocent_Contig_189298	dDocent_Contig_25548	31.06	31.06	trub,tnig,onil,dlab,poli	0	16
78227436	dDocent_Contig_2844	dDocent_Contig_125713	11.48	13.87	lcal	2.39	19
78229786	dDocent_Contig_29737	dDocent_Contig_179549	19.29	17.95	gacu,lcal,trub,onil,poli	1.34	19
384404449	dDocent_Contig_54942	dDocent_Contig_336119	37.63	35.77	tnig	1.86	4
384404977	dDocent_Contig_121057	dDocent_Contig_104597	21.36	20.14	lcal,onil,poli	1.22	14
78225780	dDocent_Contig_29737	dDocent_Contig_179549	19.29	17.95	gacu,lcal,onil,poli	1.34	19
gi|38153680|emb|AJ605124.1|	dDocent_Contig_11122	dDocent_Contig_21978	10.72	5.67	onil	5.05	18
384405686	dDocent_Contig_67109	dDocent_Contig_126711	67.07	66.91	lcal,poli	0.159999999999997	12
gi|205361278|dbj|AB459383.1|	dDocent_Contig_103448	dDocent_Contig_386896	55.56	57.59	poli	2.03	13
384404414	dDocent_Contig_68700	dDocent_Contig_305597	22.73	29.42	tnig	6.69	8
78225580	dDocent_Contig_29737	dDocent_Contig_179549	19.29	17.95	gacu,lcal,onil,poli	1.34	19
118772559	dDocent_Contig_1422	dDocent_Contig_27079	36.68	37.34	poli	0.660000000000004	13
gi|205361222|dbj|AB459327.1|	dDocent_Contig_8987	dDocent_Contig_139359	31.82	33.21	poli	1.39	23
384404997	dDocent_Contig_301600	dDocent_Contig_13057	16.82	18.53	gacu,lcal,trub,tnig,onil,dlab	1.71	14
