START_LOCUS	END_LOCUS	NUM_LOCI	COMP_CHR	COMP_START	COMP_END	COMP_SIZE	MAP_LG	MAP_START	MAP_END	MAP_SIZE
dDocent_Contig_56798	dDocent_Contig_96847	2	18	487827	921531	433704	11	9.31	9.92	0.61
dDocent_Contig_264083	dDocent_Contig_30539	5	18	1713020	2128154	1144930	11	9.92	16.59	6.67
dDocent_Contig_12806	dDocent_Contig_32774	5	18	14429467	15504277	1074810	11	22.67	25.25	2.58
dDocent_Contig_31290	dDocent_Contig_958	7	18	10905378	10148467	756911	11	28.86	34.21	5.35
dDocent_Contig_2583	dDocent_Contig_272119	2	18	9675688	9644189	31499	11	44.61	44.61	0.00
dDocent_Contig_43813	dDocent_Contig_341717	2	18	9098661	9062263	36398	11	49.89	55.18	5.29
dDocent_Contig_8219	dDocent_Contig_28149	2	18	13196650	12510522	686128	11	59.28	63.74	4.46
dDocent_Contig_125660	dDocent_Contig_114038	2	1	27730063	27007944	722119	21	30.16	34.03	3.87
dDocent_Contig_10429	dDocent_Contig_50700	3	1	20863996	22417450	1553454	21	33.87	36.06	2.19
dDocent_Contig_360054	dDocent_Contig_63807	2	1	22442203	23178744	736541	21	38.07	40.85	2.78
dDocent_Contig_255676	dDocent_Contig_3903	3	1	20213316	20678055	464739	21	42.41	47.4	4.99
dDocent_Contig_157143	dDocent_Contig_3405	2	1	27854978	27698555	156423	21	50.64	53.02	2.38
dDocent_Contig_22103	dDocent_Contig_5023	3	15	13258373	16090274	2831901	7	1.91	5.25	3.34
dDocent_Contig_39587	dDocent_Contig_3156	4	15	3613580	4408886	795306	7	5.92	6.59	0.67
dDocent_Contig_66601	dDocent_Contig_122871	2	15	2677510	1963825	713685	7	10	10.5	0.50
dDocent_Contig_15664	dDocent_Contig_224986	6	15	4565701	5092807	527106	7	13.74	15.52	1.85
dDocent_Contig_55735	dDocent_Contig_1884	2	15	5277581	5436097	158516	7	16.25	16.55	0.30
dDocent_Contig_1622	dDocent_Contig_45279	3	15	5092975	5376776	283801	7	16.55	17.01	0.46
dDocent_Contig_62600	dDocent_Contig_1101	9	15	6135771	8786829	2653237	7	18.25	29.95	11.70
