START_LOCUS	END_LOCUS	NUM_LOCI	COMP_CHR	COMP_START	COMP_END	COMP_SIZE	MAP_LG	MAP_START	MAP_END	MAP_SIZE
dDocent_Contig_5207	dDocent_Contig_187281	2	7_1	19919674	20906700	987026	11	6.76	6.76	0.00
dDocent_Contig_14391	dDocent_Contig_96847	2	7_1	18686860	19313931	627071	11	9.92	9.92	0.00
dDocent_Contig_70827	dDocent_Contig_52004	2	7_1	18489513	19211806	722293	11	10.85	12.88	2.03
dDocent_Contig_10459	dDocent_Contig_31792	6	7_1	17371802	18403802	1032000	11	16.59	16.59	0.00
dDocent_Contig_28577	dDocent_Contig_396511	4	7_1	15815867	15520342	306152	11	22.06	23	0.94
dDocent_Contig_8679	dDocent_Contig_84028	3	7_1	14030304	14023555	17781	11	25.25	25.25	0.00
dDocent_Contig_19168	dDocent_Contig_101762	4	7_1	14708598	14986542	277944	11	25.25	25.33	0.08
dDocent_Contig_31290	dDocent_Contig_958	7	7_1	12807326	11727315	1080011	11	28.86	34.21	5.35
dDocent_Contig_104757	dDocent_Contig_59935	3	7_1	9522383	9603572	166327	11	36.88	37.55	0.67
dDocent_Contig_382081	dDocent_Contig_74363	3	7_1	10637065	9816562	820503	11	37.11	41.75	4.64
dDocent_Contig_190056	dDocent_Contig_272119	3	7_1	7504428	8141307	636879	11	44.22	44.61	0.39
dDocent_Contig_8373	dDocent_Contig_78213	2	7_1	5215464	5744024	528560	11	45.77	45.77	0.00
dDocent_Contig_65087	dDocent_Contig_43813	2	7_1	9147158	8850454	296704	11	45.77	49.89	4.12
dDocent_Contig_69792	dDocent_Contig_182805	2	7_1	5810221	5967741	157520	11	49.89	50.9	1.01
dDocent_Contig_32350	dDocent_Contig_276335	2	7_1	3452058	3745806	293748	11	55.97	58.94	2.97
dDocent_Contig_1655	dDocent_Contig_8219	2	7_1	2974018	3133577	159559	11	59.37	59.28	0.09
dDocent_Contig_14551	dDocent_Contig_2441	2	7_2	9342170	9284432	57738	21	19.57	19.57	0.00
dDocent_Contig_52792	dDocent_Contig_10808	5	7_2	8598030	8896157	705039	21	24.76	26.62	1.86
dDocent_Contig_21187	dDocent_Contig_114662	2	7_2	1896196	1793778	102418	21	31.87	32.18	0.31
dDocent_Contig_16207	dDocent_Contig_50700	3	7_2	3982681	5504694	1522013	21	35.89	36.06	0.17
dDocent_Contig_33630	dDocent_Contig_23434	2	7_2	6257383	6445383	188000	21	35.89	36.22	0.33
dDocent_Contig_10387	dDocent_Contig_141966	2	7_2	7380303	7348280	32023	21	36.2	35.89	0.31
dDocent_Contig_80702	dDocent_Contig_30634	3	7_2	6093779	5584904	508875	21	37.14	38.67	1.53
dDocent_Contig_255676	dDocent_Contig_46718	2	7_2	11019349	11023350	4001	21	42.41	42.77	0.36
dDocent_Contig_5987	dDocent_Contig_3903	2	7_2	11570085	11639491	69406	21	47.33	47.4	0.07
dDocent_Contig_13269	dDocent_Contig_17935	3	7_2	3189385	3709001	557154	21	50.47	52.03	1.90
dDocent_Contig_138223	dDocent_Contig_3405	2	7_2	997812	1117263	119451	21	53.02	53.02	0.00
dDocent_Contig_123246	dDocent_Contig_8508	2	19	691148	2823217	2132069	7	0	0	0.00
dDocent_Contig_33115	dDocent_Contig_2829	3	19	6927313	5148575	1778738	7	0	2.52	2.52
dDocent_Contig_5023	dDocent_Contig_4056	2	19	3935444	4158242	222798	7	5.25	5	0.25
dDocent_Contig_3156	dDocent_Contig_66601	8	19	7333214	9549492	2216278	7	6.59	10	3.41
dDocent_Contig_30404	dDocent_Contig_8174	2	19	11755522	11864443	108921	7	13.9	13.9	0.00
dDocent_Contig_117913	dDocent_Contig_45279	14	19	10622479	11548824	996050	7	14.05	17.01	2.96
dDocent_Contig_8173	dDocent_Contig_3891	8	19	12527548	13725840	1204798	7	18.25	23.98	5.73
dDocent_Contig_3406	dDocent_Contig_16173	4	19	14573160	15450978	1170391	7	24.09	27.4	3.31
dDocent_Contig_145685	dDocent_Contig_1101	2	19	15968879	15970624	1745	7	28.84	29.95	1.11
dDocent_Contig_3782	dDocent_Contig_129	3	19	17365987	18076396	710409	7	35.33	38.07	2.74
dDocent_Contig_93574	dDocent_Contig_14240	4	19	19509852	19723699	257306	7	39.75	41.65	1.90
dDocent_Contig_35440	dDocent_Contig_175067	6	19	20453238	22408876	1955638	7	42.03	49.56	7.53
dDocent_Contig_183092	dDocent_Contig_113893	5	19	22298279	24499368	2201089	7	50.27	52.99	2.72
dDocent_Contig_159288	dDocent_Contig_21407	2	16-22	23945248	23847895	97353	2	4.95	5.88	0.93
dDocent_Contig_199454	dDocent_Contig_53191	7	16-22	892693	3068745	2176052	2	11.14	14.61	3.47
dDocent_Contig_157554	dDocent_Contig_352570	2	16-22	3720858	3135534	585324	2	15.28	16.99	1.71
dDocent_Contig_16131	dDocent_Contig_43242	3	16-22	4161638	3801344	538044	2	17.32	18.34	1.02
dDocent_Contig_9859	dDocent_Contig_26733	4	16-22	4734304	5575636	946174	2	18.65	20.2	1.86
dDocent_Contig_25996	dDocent_Contig_149361	11	16-22	5790465	8412144	2621679	2	20.82	26.83	6.01
dDocent_Contig_81798	dDocent_Contig_64197	2	16-22	9120449	9679972	559523	2	26.72	28.51	1.79
dDocent_Contig_82625	dDocent_Contig_8769	4	16-22	11270051	10766893	604129	2	30.37	32.63	2.26
dDocent_Contig_9113	dDocent_Contig_16230	2	16-22	9983326	10273444	290118	2	33.22	33.22	0.00
dDocent_Contig_193602	dDocent_Contig_301464	2	16-22	12697759	13016901	319142	2	35.64	35.39	0.25
dDocent_Contig_28297	dDocent_Contig_90063	2	16-22	14242436	13850076	392360	2	38.58	39.35	0.77
dDocent_Contig_36421	dDocent_Contig_355	4	16-22	16145964	15602080	543884	2	45.79	48.23	2.44
dDocent_Contig_273666	dDocent_Contig_8251	2	16-22	16469704	16609102	139398	2	49.21	49.89	0.68
dDocent_Contig_104302	dDocent_Contig_21226	3	16-22	12904040	13916423	1012383	2	52.43	52.59	0.35
dDocent_Contig_89980	dDocent_Contig_48591	3	16-22	15758213	16004367	246154	2	52.22	52.22	0.21
dDocent_Contig_178388	dDocent_Contig_11186	5	16-22	17156666	18144322	987656	2	52.22	53.27	1.05
dDocent_Contig_243672	dDocent_Contig_169085	4	14	1797825	2724808	926983	17	3.74	4.36	0.62
dDocent_Contig_83020	dDocent_Contig_19203	4	14	3361345	3719286	357941	17	5.29	8.44	3.15
dDocent_Contig_6644	dDocent_Contig_7736	2	14	5657637	5915995	258358	17	19.74	21.77	2.03
dDocent_Contig_2497	dDocent_Contig_134913	2	15	18557379	18361782	195597	17	22.69	24.14	1.45
dDocent_Contig_92061	dDocent_Contig_60490	3	15	19475646	19203495	314476	17	25.14	26.84	1.70
dDocent_Contig_9101	dDocent_Contig_21292	9	15	19987749	20801847	1031540	17	26.68	32.08	5.40
dDocent_Contig_26251	dDocent_Contig_5360	4	14	9439943	7562862	1877081	17	42.22	45	2.78
dDocent_Contig_16645	dDocent_Contig_75562	2	14	7377328	7007790	369538	17	46.94	49.5	2.56
dDocent_Contig_8438	dDocent_Contig_135616	3	14	12810251	13276780	466529	17	50.26	54.06	3.80
dDocent_Contig_166840	dDocent_Contig_30025	2	14	12292369	12614417	322048	17	54.93	56.44	1.51
dDocent_Contig_4414	dDocent_Contig_5386	3	14	11908561	10949029	959532	17	58.78	60.19	1.41
dDocent_Contig_91476	dDocent_Contig_30738	3	3	1941604	2784225	1029155	22	3.53	8.46000000000001	4.93
dDocent_Contig_21593	dDocent_Contig_329166	2	3	3424072	3789489	365417	22	8.34	9.28	0.94
dDocent_Contig_16052	dDocent_Contig_113794	2	3	4280572	4327158	46586	22	11.13	11.13	0.00
dDocent_Contig_20095	dDocent_Contig_12291	2	3	3550977	3800778	249801	22	11.89	13.51	1.62
dDocent_Contig_1531	dDocent_Contig_16374	20	3	4867024	12333914	7478383	22	19.37	40	20.63
dDocent_Contig_1626	dDocent_Contig_69113	5	3	13305730	13039340	387892	22	46.28	47.63	1.68
dDocent_Contig_21728	dDocent_Contig_29349	5	3	15076683	15378078	420516	22	49.24	53.08	3.84
dDocent_Contig_28835	dDocent_Contig_49245	3	3	15914550	16659239	744689	22	56.43	56.41	0.33
dDocent_Contig_10820	dDocent_Contig_9496	2	3	16778385	16918883	140498	22	57.44	57.33	0.11
dDocent_Contig_13457	dDocent_Contig_27826	2	3	12818310	12971349	153039	22	59.13	59.13	0.00
dDocent_Contig_62487	dDocent_Contig_111577	5	3	16919425	18187413	1267988	22	59.13	59.13	0.00
dDocent_Contig_53181	dDocent_Contig_6714	3	3	18785386	19841793	1056407	22	59.13	59.13	0.00
dDocent_Contig_35914	dDocent_Contig_55599	2	3	20477018	20608309	131291	22	59.16	59.16	0.00
dDocent_Contig_307589	dDocent_Contig_5988	4	12	9241347	11051568	1810221	1	0	1.54	1.54
dDocent_Contig_6590	dDocent_Contig_164687	13	12	13426498	16038920	2655495	1	1.54	13.88	12.34
dDocent_Contig_65968	dDocent_Contig_62	3	12	16359580	17054683	695103	1	14.56	14.56	0.00
dDocent_Contig_52162	dDocent_Contig_2268	2	12	18140265	17741683	398582	1	15.8	18.4	2.60
dDocent_Contig_55516	dDocent_Contig_319646	2	12	18692754	18906146	213392	1	18.4	18.73	0.33
dDocent_Contig_38328	dDocent_Contig_158022	9	12	19699483	23856950	4157467	1	19.82	27.61	7.79
dDocent_Contig_1291	dDocent_Contig_339848	2	20	2035059	2393686	358627	1	30.97	30.97	0.00
dDocent_Contig_15153	dDocent_Contig_7928	9	12	23994408	25820520	2183911	1	30.97	33.64	2.67
dDocent_Contig_12514	dDocent_Contig_56538	4	12	26197107	26579305	539601	1	33.64	34.5	0.86
dDocent_Contig_32568	dDocent_Contig_311739	2	12	26304823	26284702	20121	1	35.16	35.16	0.00
dDocent_Contig_10881	dDocent_Contig_112195	2	12	27080069	26927528	152541	1	39.79	39.79	0.00
dDocent_Contig_23004	dDocent_Contig_172657	7	12	5631427	6554508	1127443	1	47.61	47.61	0.00
