rad_haplotyper -v FamA.recode.vcf -r reference.fasta -x 35 -d 10 -z 3 -m .5 -g FamA.gen -p FamA.popmap -t FamA.tsv -p1 SFL-1_SFL-A-F1 -p2 SFL-1_SFL-A-M1 -e
Locus	Sites	Haplotypes	Inds_Haplotyped	Total_Inds	Prop_Haplotyped	Status	Poss_Paralog	Low_Cov/Geno_Err	Miss_Geno	Comment
dDocent_Contig_100003	3	3	174	183	0.951	PASSED	3	3	3	
dDocent_Contig_100113	3	4	161	183	0.880	PASSED	5	1	16	
dDocent_Contig_100127	1	2	182	183	0.995	PASSED	0	0	1	
dDocent_Contig_100173	17	4	179	183	0.978	PASSED	0	0	4	
dDocent_Contig_10018	3	4	183	183	1.000	PASSED	0	0	0	
dDocent_Contig_1002	10	4	180	183	0.984	PASSED	0	0	3	
dDocent_Contig_100486	4	3	181	183	0.989	PASSED	0	0	2	
dDocent_Contig_100526	1	2	172	183	0.940	PASSED	0	0	11	
dDocent_Contig_100674	1	2	170	183	0.929	PASSED	0	0	13	
dDocent_Contig_100682	3	4	181	183	0.989	PASSED	0	0	2	
dDocent_Contig_10075	3	3	179	183	0.978	PASSED	2	0	2	
dDocent_Contig_100813	1	2	168	183	0.918	PASSED	0	0	15	
dDocent_Contig_100914	1	2	179	183	0.978	PASSED	0	0	4	
dDocent_Contig_101087	3	3	178	183	0.973	PASSED	2	0	3	
dDocent_Contig_1011	5	4	177	183	0.967	PASSED	2	0	4	
dDocent_Contig_101213	1	2	182	183	0.995	PASSED	0	0	1	
dDocent_Contig_101442	1	2	172	183	0.940	PASSED	0	0	11	
dDocent_Contig_10154	4	4	175	183	0.956	PASSED	1	0	7	
dDocent_Contig_101570	4	4	182	183	0.995	PASSED	1	0	0	
dDocent_Contig_101744	5	3	183	183	1.000	PASSED	0	0	0	
dDocent_Contig_101806	2	3	169	183	0.923	PASSED	0	0	14	
dDocent_Contig_10181	1	2	183	183	1.000	PASSED	0	0	0	
dDocent_Contig_101908	8	3	179	183	0.978	PASSED	0	0	4	
dDocent_Contig_101935	1	2	172	183	0.940	PASSED	0	0	11	
dDocent_Contig_102096	1	2	172	183	0.940	PASSED	0	0	11	
dDocent_Contig_102168	1	2	171	183	0.934	PASSED	0	0	12	
dDocent_Contig_102172	2	3	182	183	0.995	PASSED	0	0	1	
dDocent_Contig_1022	1	2	182	183	0.995	PASSED	0	0	1	
dDocent_Contig_102244	1	2	180	183	0.984	PASSED	0	0	3	
dDocent_Contig_102279	1	2	181	183	0.989	PASSED	0	0	2	
dDocent_Contig_1023	1	2	180	183	0.984	PASSED	0	0	3	
dDocent_Contig_102406	2	3	173	183	0.945	PASSED	3	0	7	
dDocent_Contig_102474	11	6	138	183	0.754	PASSED	2	43	0	
dDocent_Contig_102616	1	2	162	183	0.885	PASSED	0	0	21	
dDocent_Contig_10272	8	5	169	183	0.923	PASSED	1	0	13	
dDocent_Contig_10285	7	3	182	183	0.995	PASSED	0	0	1	
dDocent_Contig_102859	3	3	182	183	0.995	PASSED	0	0	1	
dDocent_Contig_10286	2	2	179	183	0.978	PASSED	0	0	4	
dDocent_Contig_10295	9	4	176	183	0.962	PASSED	1	0	6	
dDocent_Contig_102978	2	3	179	183	0.978	PASSED	1	0	3	
dDocent_Contig_1030	3	2	174	183	0.951	PASSED	0	1	8	
dDocent_Contig_10301	2	2	180	183	0.984	PASSED	0	0	3	
dDocent_Contig_103097	3	3	168	183	0.918	PASSED	0	0	15	
dDocent_Contig_103135	2	3	181	183	0.989	PASSED	2	0	0	
dDocent_Contig_103216	2	2	179	183	0.978	PASSED	0	0	4	
dDocent_Contig_103220	1	2	175	183	0.956	PASSED	0	0	8	
dDocent_Contig_103327	3	3	175	183	0.956	PASSED	0	0	8	
dDocent_Contig_10333	3	4	174	183	0.951	PASSED	3	0	6	
dDocent_Contig_103384	6	4	165	183	0.902	PASSED	0	1	17	
dDocent_Contig_103437	5	4	181	183	0.989	PASSED	2	0	0	
dDocent_Contig_103448	5	4	178	183	0.973	PASSED	3	0	2	
dDocent_Contig_10354	2	3	169	183	0.923	PASSED	1	0	13	
dDocent_Contig_103540	3	3	180	183	0.984	PASSED	1	0	2	
dDocent_Contig_103795	4	3	175	183	0.956	PASSED	0	3	5	
dDocent_Contig_10383	3	3	181	183	0.989	PASSED	2	0	0	
dDocent_Contig_10387	1	2	180	183	0.984	PASSED	0	0	3	
dDocent_Contig_103985	-	-	-	-	-	FILTERED	0	0	0	Complex
dDocent_Contig_10399	3	4	180	183	0.984	PASSED	1	1	1	
dDocent_Contig_104016	1	2	178	183	0.973	PASSED	0	0	5	
dDocent_Contig_104100	8	4	183	183	1.000	PASSED	0	0	0	
dDocent_Contig_10414	1	2	179	183	0.978	PASSED	0	0	4	
dDocent_Contig_104202	4	3	181	183	0.989	PASSED	0	0	2	
dDocent_Contig_104204	3	3	179	183	0.978	PASSED	1	0	3	
dDocent_Contig_10422	4	3	181	183	0.989	PASSED	0	1	1	
dDocent_Contig_104281	1	2	177	183	0.967	PASSED	0	0	6	
dDocent_Contig_10429	2	3	179	183	0.978	PASSED	0	0	4	
dDocent_Contig_10430	2	3	183	183	1.000	PASSED	0	0	0	
dDocent_Contig_104495	4	4	177	183	0.967	PASSED	0	1	5	
dDocent_Contig_104541	2	3	182	183	0.995	PASSED	0	0	1	
dDocent_Contig_104582	3	4	165	183	0.902	PASSED	3	0	15	
dDocent_Contig_10459	4	4	177	183	0.967	PASSED	1	1	4	
dDocent_Contig_104597	4	4	183	183	1.000	PASSED	0	0	0	
dDocent_Contig_104757	2	4	170	183	0.929	PASSED	6	3	4	
dDocent_Contig_104820	1	2	175	183	0.956	PASSED	0	0	8	
dDocent_Contig_104837	2	3	182	183	0.995	PASSED	0	0	1	
dDocent_Contig_10484	2	2	183	183	1.000	PASSED	0	0	0	
dDocent_Contig_104875	1	2	183	183	1.000	PASSED	0	0	0	
dDocent_Contig_10491	1	2	167	183	0.913	PASSED	0	0	16	
dDocent_Contig_104916	2	3	173	183	0.945	PASSED	0	0	10	
dDocent_Contig_10503	6	2	164	183	0.896	PASSED	1	0	18	
dDocent_Contig_10505	2	3	169	183	0.923	PASSED	0	0	14	
dDocent_Contig_10509	1	2	171	183	0.934	PASSED	0	0	12	
dDocent_Contig_1052	4	3	180	183	0.984	PASSED	0	0	3	
dDocent_Contig_10523	3	3	165	183	0.902	PASSED	0	0	18	
dDocent_Contig_105366	5	4	182	183	0.995	PASSED	1	0	0	
dDocent_Contig_10546	13	4	180	183	0.984	PASSED	3	0	0	
dDocent_Contig_10555	2	3	182	183	0.995	PASSED	1	0	0	
dDocent_Contig_105708	2	3	147	183	0.803	PASSED	10	0	26	
dDocent_Contig_105803	1	2	181	183	0.989	PASSED	0	0	2	
dDocent_Contig_105926	6	3	177	183	0.967	PASSED	2	0	4	
dDocent_Contig_105948	2	3	181	183	0.989	PASSED	0	1	1	
dDocent_Contig_1061	2	3	181	183	0.989	PASSED	0	0	2	
dDocent_Contig_10610	1	2	174	183	0.951	PASSED	0	0	9	
dDocent_Contig_106182	3	6	56	183	0.306	FILTERED	111	0	16	Missing data
dDocent_Contig_1062	1	2	172	183	0.940	PASSED	0	0	11	
dDocent_Contig_106215	4	2	171	183	0.934	PASSED	0	0	12	
dDocent_Contig_106405	2	2	182	183	0.995	PASSED	0	0	1	
dDocent_Contig_10642	2	2	175	183	0.956	PASSED	1	0	7	
dDocent_Contig_1065	2	3	182	183	0.995	PASSED	0	0	1	
dDocent_Contig_106618	3	4	183	183	1.000	PASSED	0	0	0	
dDocent_Contig_106635	2	3	168	183	0.918	PASSED	0	0	15	
dDocent_Contig_10669	1	2	183	183	1.000	PASSED	0	0	0	
dDocent_Contig_106698	6	4	175	183	0.956	PASSED	1	3	4	
dDocent_Contig_10681	1	2	172	183	0.940	PASSED	0	0	11	
dDocent_Contig_10687	2	3	183	183	1.000	PASSED	0	0	0	
dDocent_Contig_106982	4	3	168	183	0.918	PASSED	0	0	15	
dDocent_Contig_10702	2	3	177	183	0.967	PASSED	0	0	6	
dDocent_Contig_107037	1	2	183	183	1.000	PASSED	0	0	0	
dDocent_Contig_10704	5	3	181	183	0.989	PASSED	0	2	0	
dDocent_Contig_107087	4	2	180	183	0.984	PASSED	1	0	2	
dDocent_Contig_107248	1	2	183	183	1.000	PASSED	0	0	0	
dDocent_Contig_107286	11	4	179	183	0.978	PASSED	2	0	2	
dDocent_Contig_10737	2	2	183	183	1.000	PASSED	0	0	0	
dDocent_Contig_107421	1	2	182	183	0.995	PASSED	0	0	1	
dDocent_Contig_107431	1	2	169	183	0.923	PASSED	0	0	14	
dDocent_Contig_107441	2	3	181	183	0.989	PASSED	0	0	2	
