locus,map_chr,map_prop,map_pos,dlab_chr,dlab_prop,dlab_pos,poli_chr,poli_prop,poli_pos,gacu_chr,gacu_prop,gacu_pos,lcal_chr,lcal_prop,lcal_pos,trub_chr,trub_prop,trub_pos,tnig_chr,tnig_prop,tnig_pos,csem_chr,csem_prop,csem_pos,onil_chr,onil_prop,onil_pos,
dDocent_Contig_64259,20,0.685,47.95,5,0.675,22010542,7,0.808,23878380,,,,2,0.269,8177251,13,0.632,10709216,,,,5,0.640,12337970,1,0.100,3130120,
dDocent_Contig_8341,21,0.620,39.92,,,,14,0.211,2348626,,,,,,,,,,,,,,,,,,,
dDocent_Contig_17440,8,0.387,28.07,,,,18,0.168,3267673,,,,,,,,,,,,,,,,,,,
dDocent_Contig_33993,1,0.024,1.54,1A,0.203,5886278,1,0.174,4826896,,,,12,0.377,10483408,,,,,,,,,,,,,
dDocent_Contig_1901,20,0.816,57.15,,,,7,0.881,26034540,,,,2,0.361,10972078,,,,,,,,,,,,,
dDocent_Contig_57989,2,0.720,40.55,,,,3,0.576,13356775,,,,,,,,,,,,,,,,,,,
dDocent_Contig_4163,5,0.842,56.19,2,0.917,24051011,12,0.158,4057703,4,0.075,2456004,8,0.809,20981357,14,0.902,11125877,20,0.600,2278868,15,0.271,5443750,2,0.276,6924915,
dDocent_Contig_3923,6,0.086,6.12,,,,23,0.815,23893862,,,,,,,,,,,,,,,,,,,
dDocent_Contig_100040,11,0.648,42.78,17,0.677,15505478,2,0.483,9894682,,,,7_1,0.364,8469789,16,0.869,8960274,,,,,,,15,0.002,41402,
dDocent_Contig_360438,4,0.189,14.39,7,0.239,6806837,5,0.630,16279424,,,,5,0.888,25708365,,,,,,,,,,,,,
dDocent_Contig_58262,24,0.236,15.24,,,,19,0.382,10081291,,,,,,,,,,,,,,,,,,,
dDocent_Contig_63665,15,0.309,22.95,1B,0.371,6683530,4,0.465,8831445,,,,,,,,,,,,,,,,,,,
dDocent_Contig_142757,6,0.822,58.43,20,0.632,17961644,23,0.002,68897,,,,13,0.029,777756,,,,,,,,,,12,0.806,27935334,
dDocent_Contig_58288,16,0.495,33.8,16,0.297,7658672,6,0.098,2419205,20,0.586,11566423,15,0.324,9964558,7,0.954,13647512,8,0.884,9295165,13,0.088,1922567,11,0.585,19568537,
dDocent_Contig_70827,11,0.164,10.85,,,,2,0.040,825202,,,,7_1,0.795,18489513,,,,,,,,,,,,,
dDocent_Contig_109281,4,0.956,72.89,7,0.991,28230368,5,0.929,24008229,,,,5,0.105,3050472,,,,,,,9,0.022,428017,,,,
dDocent_Contig_31830,8,0.710,51.54,18-21,0.877,14429798,18,0.942,18283196,,,,24,0.875,17336505,,,,6,0.990,6956438,,,,9,0.895,18751630,
dDocent_Contig_2335,15,0.790,58.76,1B,0.119,2138356,4,0.742,14095313,5,0.616,7543666,23,0.161,2929898,1,0.254,5910880,,,,8,0.413,12463977,8,0.180,5298009,
dDocent_Contig_76593,3,0.373,25.37,,,,21,0.661,16741805,,,,,,,,,,,,,,,,,,,
dDocent_Contig_36018,8,0.286,20.73,18-21,0.165,2721380,18,0.031,599561,21,0.200,2343164,24,0.056,1109140,10,0.086,783296,,,,3,0.455,7390164,9,0.254,5327723,
dDocent_Contig_44561,7,0.640,36.56,12,0.748,17375663,,,,15,0.636,10309155,19,0.722,17696795,,,,,,,1,0.367,12667988,19,0.304,8249177,
dDocent_Contig_25863,20,0.362,25.37,5,0.262,8541237,7,0.567,16749189,2,0.652,15189013,2,0.807,24537807,,,,5,0.187,2505236,,,,1,0.591,18444945,
dDocent_Contig_40654,4,0.856,65.3,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_381695,4,0.587,44.75,,,,5,0.204,5264159,,,,,,,,,,,,,,,,,,,
dDocent_Contig_45214,3,0.280,19,,,,21,0.680,17208929,,,,,,,,,,,,,,,,,,,
dDocent_Contig_30698,4,0.311,23.71,,,,5,0.448,11586267,,,,5,0.726,21033950,,,,,,,,,,,,,
dDocent_Contig_139360,3,0.079,5.35,13,0.877,24224758,21,0.932,23593913,,,,21,0.671,19246062,,,,,,,4,0.347,6952853,14,0.771,26368733,
dDocent_Contig_2753,14,0.525,27.92,,,,13,0.024,464757,,,,,,,,,,,,,,,,,,,
dDocent_Contig_7643,6,0.618,43.9,,,,,,,,,,13,0.223,6064454,,,,,,,,,,,,,
dDocent_Contig_44252,10,0.537,35.39,10,0.489,11764880,11,0.526,11970807,,,,4,0.525,13399348,22,0.589,6833761,,,,,,,18,0.382,9995294,
dDocent_Contig_25003,9,0.767,60.26,,,,20,0.183,4186976,,,,,,,,,,,,,,,,,,,
dDocent_Contig_7617,23,0.603,39.43,22-25,0.553,14627704,17,0.650,16377869,,,,6,0.410,11453606,,,,,,,10,0.565,11867618,20,0.877,27594240,
dDocent_Contig_19676,23,0.483,31.6,22-25,0.423,11188207,17,0.948,23880846,12,0.668,12296255,6,0.536,14965236,,,,,,,,,,,,,
dDocent_Contig_308023,4,0.514,39.18,7,0.642,18287824,5,0.080,2062571,,,,5,0.492,14263341,,,,,,,,,,6,0.444,16300570,
dDocent_Contig_204258,9,0.528,41.45,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_264083,11,0.150,9.92,17,0.203,4657504,2,0.055,1131884,18,0.105,1713020,7_1,0.782,18199513,,,,,,,7,0.239,3298729,,,,
dDocent_Contig_113826,19,0.675,39.17,,,,10,0.198,4318507,,,,,,,,,,,,,,,,,,,
dDocent_Contig_105544,4,0.838,63.92,7,0.943,26867747,5,0.858,22183600,,,,5,0.151,4382375,,,,,,,,,,6,0.197,7233802,
dDocent_Contig_273666,2,0.874,49.21,,,,3,0.525,12181336,,,,16-22,0.637,16469704,,,,,,,,,,,,,
dDocent_Contig_278198,17,0.929,56.48,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_59488,11,0.461,30.44,,,,2,0.713,14614056,18,0.660,10750631,,,,,,,,,,,,,,,,
dDocent_Contig_121057,14,0.402,21.36,,,,13,0.299,5917987,,,,9,0.555,12750215,,,,,,,,,,7,0.358,18293196,
dDocent_Contig_31605,20,0.265,18.52,5,0.969,31615142,7,0.056,1665701,2,0.001,24058,2,0.532,16163613,,,,,,,5,0.441,8492792,10,0.307,5246638,
dDocent_Contig_8882,16,0.468,31.95,,,,6,0.080,1965396,20,0.606,11950262,15,0.341,10480099,7,0.910,13010403,8,0.788,8287764,13,0.055,1210061,11,0.566,18925450,
dDocent_Contig_25858,2,0.088,4.95,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_42416,9,0.523,41.08,14,0.661,18782255,20,0.270,6197719,7,0.668,18668316,20,0.818,19426503,15,0.191,2199202,7,0.878,10263585,19,0.849,15071881,,,,
dDocent_Contig_4090,19,0.440,25.51,,,,10,0.408,8907235,,,,,,,,,,,,,,,,,,,
dDocent_Contig_116082,11,0.506,33.37,17,0.475,10876709,2,0.694,14214564,18,0.641,10441395,7_1,0.521,12117205,16,0.586,6039666,14,0.538,5510044,7,0.328,4532481,15,0.635,16953402,
dDocent_Contig_101442,9,0.803,63.04,16,0.973,25133246,20,0.145,3312521,,,,,,,,,,,,,,,,,,,
dDocent_Contig_82292,8,0.247,17.93,,,,18,0.702,13632478,,,,24,0.245,4846101,,,,,,,,,,9,0.060,1262156,
dDocent_Contig_29713,12,0.147,10.41,4,0.829,22848935,24,0.585,13331019,,,,17,0.163,4516681,20,0.109,1459652,1,0.460,10570869,,,,23,0.386,8013166,
dDocent_Contig_8219,11,0.899,59.28,17,0.839,19203069,2,0.906,18568726,18,0.810,13196650,7_1,0.135,3133577,16,0.170,1749446,14,0.921,9435931,7,0.914,12621885,,,,
dDocent_Contig_142911,23,0.249,16.27,,,,17,0.840,21156796,,,,,,,,,,,,,,,,,,,
dDocent_Contig_197508,23,0.681,44.58,,,,17,0.515,12960087,,,,,,,,,,,,,,,,,,,
dDocent_Contig_9989,9,0.700,54.93,,,,20,0.107,2451284,,,,,,,,,,,,,,,,,,,
dDocent_Contig_11933,4,0.073,5.57,,,,5,0.675,17453596,,,,,,,,,,,,,,,,,,,
dDocent_Contig_223802,11,0.474,31.28,17,0.464,10627505,2,0.706,14472564,18,0.652,10618320,7_1,0.534,12408974,,,,,,,,,,15,0.647,17255065,
dDocent_Contig_23976,18,0.492,35.19,,,,16,0.165,2826681,,,,18,0.384,7371700,,,,,,,,,,,,,
