START_LOCUS	END_LOCUS	NUM_LOCI	COMP_CHR	COMP_START	COMP_END	COMP_SIZE	MAP_LG	MAP_START	MAP_END	MAP_SIZE
dDocent_Contig_96847	dDocent_Contig_18330	3	15	26611354	26153754	457600	11	9.92	13.99	4.07
dDocent_Contig_10459	dDocent_Contig_48005	4	15	24029825	25283549	1253724	11	16.59	16.59	0.00
dDocent_Contig_28577	dDocent_Contig_74363	15	15	22196656	14463461	7896096	11	22.06	41.75	19.69
dDocent_Contig_100040	dDocent_Contig_272119	4	15	41402	471041	1153045	11	42.78	44.61	1.83
dDocent_Contig_8373	dDocent_Contig_182805	3	15	4016352	3156842	859510	11	45.77	50.9	5.13
dDocent_Contig_32350	dDocent_Contig_276335	2	15	13558094	13029023	529071	11	55.97	58.94	2.97
dDocent_Contig_138223	dDocent_Contig_3405	2	23	1213845	1739953	526108	21	53.02	53.02	0.00
dDocent_Contig_22103	dDocent_Contig_15637	2	19	13323614	14958142	1634528	7	1.91	2.22	0.31
dDocent_Contig_5023	dDocent_Contig_4056	2	19	11305835	11657446	351611	7	5.25	5	0.25
dDocent_Contig_3156	dDocent_Contig_42789	5	19	15481213	17187020	1705807	7	6.59	8.83	2.24
dDocent_Contig_66601	dDocent_Contig_244722	2	19	19761143	19043857	717286	7	10	10.5	0.50
dDocent_Contig_30404	dDocent_Contig_8174	2	19	1502897	1637341	134444	7	13.9	13.9	0.00
dDocent_Contig_176482	dDocent_Contig_45279	10	19	255811	1277153	1183102	7	14.44	17.01	2.96
dDocent_Contig_62600	dDocent_Contig_1101	8	19	2411329	5542663	3131334	7	18.25	29.95	11.70
dDocent_Contig_18098	dDocent_Contig_44561	2	19	9132958	8249177	883781	7	32.55	36.56	4.01
dDocent_Contig_326641	dDocent_Contig_19641	4	19	10900650	9965148	970387	7	40.62	43.44	2.82
dDocent_Contig_17168	dDocent_Contig_14875	2	19	5284995	7634839	2349844	7	50.33	50.33	0.00
dDocent_Contig_60276	dDocent_Contig_113893	3	19	23654339	24972682	1318343	7	52.99	52.99	0.00
dDocent_Contig_159288	dDocent_Contig_111156	3	13	9292336	10950475	1658139	2	4.95	6.81	1.86
dDocent_Contig_29172	dDocent_Contig_352570	7	13	11539897	13291262	1751365	2	10.23	16.99	6.76
dDocent_Contig_16131	dDocent_Contig_43242	3	13	14524122	14134401	578683	2	17.32	18.34	1.02
dDocent_Contig_9859	dDocent_Contig_64197	12	13	15198579	21018949	5820370	2	18.65	28.51	9.86
dDocent_Contig_91457	dDocent_Contig_9113	3	13	22867745	21324739	1543006	2	30.92	33.22	2.30
dDocent_Contig_329035	dDocent_Contig_120015	2	13	23336710	23684207	347497	2	34.14	40.6	6.46
dDocent_Contig_36421	dDocent_Contig_355	4	13	1191260	575898	615362	2	45.79	48.23	2.44
dDocent_Contig_89980	dDocent_Contig_48591	3	13	788470	1040128	251658	2	52.22	52.22	0.21
dDocent_Contig_178388	dDocent_Contig_49413	3	13	2423706	3804360	1380654	2	52.22	52.61	0.39
dDocent_Contig_75304	dDocent_Contig_21226	2	13	25503150	26185041	681891	2	52.24	52.59	0.35
dDocent_Contig_159654	dDocent_Contig_7736	6	3	588669	5519194	4930525	17	2	21.77	19.77
dDocent_Contig_2497	dDocent_Contig_134913	2	3	6262909	6025448	237461	17	22.69	24.14	1.45
dDocent_Contig_92061	dDocent_Contig_60490	3	3	8211433	7850875	410913	17	25.14	26.84	1.70
dDocent_Contig_9101	dDocent_Contig_24719	4	3	8843423	9396273	819132	17	26.68	30.55	3.87
dDocent_Contig_5622	dDocent_Contig_26251	2	3	10617225	12417544	1800319	17	32.08	42.22	10.14
dDocent_Contig_182167	dDocent_Contig_48707	2	3	13197008	12596237	600771	17	46.54	57.78	11.24
dDocent_Contig_21593	dDocent_Contig_34420	2	22	17042466	16523233	519233	22	8.34	10.49	2.15
dDocent_Contig_16052	dDocent_Contig_20095	3	22	18377717	17214166	1221119	22	11.13	11.89	0.76
dDocent_Contig_1531	dDocent_Contig_18354	3	22	19233565	19934172	700607	22	19.37	22.06	2.69
dDocent_Contig_5748	dDocent_Contig_27535	2	22	25367129	25538771	171642	22	25.13	27.27	2.14
dDocent_Contig_205530	dDocent_Contig_3534	3	22	20408673	20980161	1010368	22	27.27	34.71	7.44
dDocent_Contig_183196	dDocent_Contig_25536	3	22	13187533	13856150	668617	22	37.83	38	0.33
dDocent_Contig_107634	dDocent_Contig_3663	4	22	12723480	11534577	1188903	22	38.58	44.95	6.37
dDocent_Contig_69113	dDocent_Contig_29349	7	22	10746459	7860254	3023830	22	47.63	53.08	5.45
dDocent_Contig_311699	dDocent_Contig_28835	2	22	173024	2726683	2553659	22	56.43	56.43	0.00
dDocent_Contig_11228	dDocent_Contig_62487	3	22	4891811	3896698	995691	22	56.43	59.13	2.70
dDocent_Contig_27826	dDocent_Contig_13457	2	22	10820190	10998346	178156	22	59.13	59.13	0.00
dDocent_Contig_6590	dDocent_Contig_23083	14	5	8687776	12542274	4143922	1	1.54	14.56	13.02
dDocent_Contig_33316	dDocent_Contig_2268	3	5	15381203	13532424	1848779	1	14.56	18.4	3.84
dDocent_Contig_38328	dDocent_Contig_92949	4	5	15682841	18232992	2550151	1	19.82	23.58	3.76
dDocent_Contig_1291	dDocent_Contig_15153	3	5	24237942	26263587	2025645	1	30.97	30.97	0.00
dDocent_Contig_117373	dDocent_Contig_9130	5	5	34152682	34338311	513121	1	30.97	33.64	2.67
dDocent_Contig_56538	dDocent_Contig_311739	3	5	33619379	34023925	404546	1	34.5	35.16	0.66
dDocent_Contig_10881	dDocent_Contig_24578	3	5	30368860	31780075	1572216	1	39.79	39.79	0.00
dDocent_Contig_23004	dDocent_Contig_52743	4	5	20968854	21213032	449381	1	47.61	47.61	0.00
dDocent_Contig_183753	dDocent_Contig_165900	2	5	21358424	21234622	123802	1	54.58	54.28	0.30
dDocent_Contig_16360	dDocent_Contig_47619	2	5	35338031	36773551	1435520	1	57.08	57.91	0.83
dDocent_Contig_21978	dDocent_Contig_27189	3	17	6279013	4552797	1726216	18	5.67	11.39	5.72
dDocent_Contig_5942	dDocent_Contig_134963	3	17	30223388	28548485	1674903	18	16.56	23.42	6.86
dDocent_Contig_89892	dDocent_Contig_212866	2	17	27721568	27798662	77094	18	25.36	28.94	3.58
dDocent_Contig_50990	dDocent_Contig_115070	2	17	25389079	25667409	278330	18	28.89	29.92	1.03
dDocent_Contig_245394	dDocent_Contig_265782	2	17	25833417	25667761	165656	18	33.44	33.44	0.00
dDocent_Contig_32458	dDocent_Contig_4533	2	17	22349358	22598522	249164	18	35.19	35.19	0.00
dDocent_Contig_4245	dDocent_Contig_98348	2	17	19636933	19854405	217472	18	52.28	52.96	0.68
dDocent_Contig_122254	dDocent_Contig_121713	2	17	14850982	15424347	573365	18	53.79	56.57	2.78
dDocent_Contig_165225	dDocent_Contig_200778	3	17	17105637	15926163	1646935	18	69.38	71.39	2.01
dDocent_Contig_385543	dDocent_Contig_12068	2	17	20669551	20935719	266168	18	71.39	71.39	0.00
dDocent_Contig_32115	dDocent_Contig_14575	2	16	30951083	32046303	1095220	13	9.23	11.17	1.94
dDocent_Contig_56128	dDocent_Contig_198003	2	16	28941555	30843222	1901667	13	16.56	16.56	0.00
dDocent_Contig_239372	dDocent_Contig_159109	3	16	18152865	20479131	2326266	13	25.88	25.88	0.00
dDocent_Contig_47561	dDocent_Contig_147070	8	16	17009003	15527360	2461889	13	27.52	31.6	4.08
dDocent_Contig_37671	dDocent_Contig_75112	2	16	10853707	10438001	415706	13	45.8	46.42	0.62
dDocent_Contig_4692	dDocent_Contig_63722	5	16	9059779	8493523	1017657	13	50.47	54.58	4.49
dDocent_Contig_118495	dDocent_Contig_238701	2	11	8187673	8183770	3903	16	9.63	9.63	0.00
dDocent_Contig_204278	dDocent_Contig_1512	2	11	14229167	14704739	475572	16	13.27	13.27	0.00
dDocent_Contig_83538	dDocent_Contig_202930	2	11	476555	675975	199420	16	24.31	24.31	0.00
dDocent_Contig_53396	dDocent_Contig_137502	5	11	5770473	6536291	803565	16	27.87	28.63	0.76
dDocent_Contig_134968	dDocent_Contig_37785	4	11	15914895	18454977	2620800	16	31.06	31.28	0.22
dDocent_Contig_219013	dDocent_Contig_331327	2	11	16108517	15644280	464237	16	33.12	33.43	0.31
dDocent_Contig_146886	dDocent_Contig_34954	6	11	18843021	21604782	2761761	16	33.8	36.85	3.18
dDocent_Contig_27794	dDocent_Contig_265358	2	11	26815902	26789065	26837	16	50.65	50.65	0.00
dDocent_Contig_149785	dDocent_Contig_286764	2	11	25219899	26252060	1032161	16	58.84	58.84	0.00
dDocent_Contig_9237	dDocent_Contig_40650	3	11	32894985	32993835	346488	16	58.84	58.84	0.00
dDocent_Contig_63407	dDocent_Contig_1580	4	11	27769611	31947348	4177737	16	68.23	68.23	0.00
dDocent_Contig_11249	dDocent_Contig_37115	3	20	6758478	8060269	1301791	23	10.6	12.93	2.33
dDocent_Contig_13907	dDocent_Contig_89624	2	20	9696596	9589451	107145	23	12.09	17.45	5.36
dDocent_Contig_342733	dDocent_Contig_33242	4	20	10257777	10757855	500078	23	20.18	21.93	1.75
dDocent_Contig_30664	dDocent_Contig_14602	10	20	11884430	15118941	3234511	23	23.79	28.88	5.09
dDocent_Contig_188751	dDocent_Contig_141242	8	20	23583199	25692481	2109282	23	30.2	32.04	1.84
dDocent_Contig_26725	dDocent_Contig_119372	6	20	27510941	29874001	2363060	23	34.72	41.91	7.19
dDocent_Contig_43221	dDocent_Contig_100755	2	20	19799742	22054293	2254551	23	44.58	46.98	2.40
dDocent_Contig_8131	dDocent_Contig_123378	4	20	19114903	17991389	1128988	23	56.12	59.58	3.46
dDocent_Contig_2987	dDocent_Contig_49717	2	12	2292559	1319937	972622	6	3.8	4.22	0.42
dDocent_Contig_397105	dDocent_Contig_41980	2	12	3089578	4407051	1317473	6	6.58	6.58	0.00
dDocent_Contig_8520	dDocent_Contig_224101	3	12	8654117	9431817	777700	6	17.47	19.08	1.61
dDocent_Contig_9662	dDocent_Contig_234065	4	12	10749821	10564916	764249	6	19.81	21.51	1.70
dDocent_Contig_84423	dDocent_Contig_193069	8	12	11729920	13202988	1702659	6	24.26	28.3	4.43
dDocent_Contig_13705	dDocent_Contig_1052	3	12	15398186	18664106	3265920	6	32.38	34.85	2.47
dDocent_Contig_26491	dDocent_Contig_66774	2	12	20238902	19647525	591377	6	36.47	39.2	2.73
dDocent_Contig_23746	dDocent_Contig_19146	3	12	21163294	20405459	1076096	6	38.89	41.44	2.55
dDocent_Contig_25956	dDocent_Contig_2643	2	12	24025264	24240012	214748	6	47.61	50.31	2.70
dDocent_Contig_193448	dDocent_Contig_142757	6	12	25627602	27935334	2307732	6	50.31	58.43	8.12
dDocent_Contig_23884	dDocent_Contig_293918	3	12	27975780	32139045	4163265	6	61.84	67.72	5.88
dDocent_Contig_205084	dDocent_Contig_92423	4	14	25805672	25833444	138006	3	3.76	4.42	1.28
dDocent_Contig_63898	dDocent_Contig_2388	2	14	23581878	23923897	342019	3	5.66	5.19	0.47
dDocent_Contig_139360	dDocent_Contig_352590	7	14	26368733	27528680	1270446	3	5.35	6.28	0.93
dDocent_Contig_25692	dDocent_Contig_8598	2	14	18545078	18409500	135578	3	8.91	8.91	0.00
dDocent_Contig_98083	dDocent_Contig_3011	3	14	24075645	24790174	714529	3	8.76	9.07	0.33
dDocent_Contig_25574	dDocent_Contig_12922	2	14	21994678	18393064	3601614	3	16.67	17.75	1.08
dDocent_Contig_55414	dDocent_Contig_329394	3	14	14766694	15261259	494565	3	24.6	25.37	0.77
dDocent_Contig_85008	dDocent_Contig_7766	2	14	8118548	7460512	658036	3	26.88	27.55	0.67
dDocent_Contig_24561	dDocent_Contig_225051	6	14	8761291	10882946	2121655	3	27.55	35.45	7.90
dDocent_Contig_112373	dDocent_Contig_68707	2	14	5568581	5429116	139465	3	39.8	40.8	1.00
dDocent_Contig_22755	dDocent_Contig_384346	2	10	3172722	3634222	461500	9	15.29	15.93	0.64
dDocent_Contig_101801	dDocent_Contig_4899	2	10	6937091	7162097	225006	9	18.42	18.42	0.00
dDocent_Contig_244551	dDocent_Contig_27419	2	10	6439054	6323022	116032	9	21.55	24.92	3.37
dDocent_Contig_120494	dDocent_Contig_28238	2	10	8015718	8528556	512838	9	28.97	28.97	0.00
dDocent_Contig_333677	dDocent_Contig_125297	2	10	10887193	11610439	723246	9	33.15	35.31	2.16
dDocent_Contig_24774	dDocent_Contig_13137	6	10	14282526	15932983	1650457	9	63.37	64.16	0.79
dDocent_Contig_114253	dDocent_Contig_78321	2	10	13672296	13499337	172959	9	64.32	78.52	14.20
dDocent_Contig_41762	dDocent_Contig_49203	3	23	11695416	11383019	369941	12	8.86	9.75	0.93
dDocent_Contig_29713	dDocent_Contig_21587	2	23	8013166	8208482	195316	12	10.41	10.41	0.00
dDocent_Contig_52450	dDocent_Contig_55010	6	23	12944603	15015912	2360599	12	11.49	16.08	4.66
dDocent_Contig_95748	dDocent_Contig_7808	2	23	9795845	9577804	218041	12	18.54	22.18	3.64
