START_LOCUS	END_LOCUS	NUM_LOCI	COMP_CHR	COMP_START	COMP_END	COMP_SIZE	MAP_LG	MAP_START	MAP_END	MAP_SIZE
dDocent_Contig_52004	dDocent_Contig_18330	2	16	232098	114268	117830	11	12.88	13.99	1.11
dDocent_Contig_30539	dDocent_Contig_116082	7	16	2609968	6039666	3429698	11	16.59	33.37	16.78
dDocent_Contig_100040	dDocent_Contig_69792	2	16	8960274	7603378	1356896	11	42.78	49.89	7.11
dDocent_Contig_43813	dDocent_Contig_276335	2	16	9168446	10187393	1018947	11	49.89	58.94	9.05
dDocent_Contig_255676	dDocent_Contig_46718	2	8	4671128	4672702	1574	21	42.41	42.77	0.36
dDocent_Contig_22103	dDocent_Contig_4056	2	2	1969136	954814	1014322	7	1.91	5	3.09
dDocent_Contig_100682	dDocent_Contig_349127	2	2	9340180	9825245	485065	7	6.9	6.59	0.31
dDocent_Contig_42789	dDocent_Contig_244722	3	2	8866642	8007961	858681	7	8.83	10.5	1.67
dDocent_Contig_86242	dDocent_Contig_8174	2	2	6958715	6755440	203275	7	10.06	13.9	3.84
dDocent_Contig_176482	dDocent_Contig_6864	3	2	7591367	7609036	65879	7	14.44	15.09	1.04
dDocent_Contig_224986	dDocent_Contig_124590	2	2	7219403	7516049	296646	7	15.52	15.59	0.07
dDocent_Contig_55735	dDocent_Contig_45279	4	2	7060017	6991015	286212	7	16.25	17.01	0.76
dDocent_Contig_62600	dDocent_Contig_2193	4	2	6352834	5624502	728332	7	18.25	22.2	3.95
dDocent_Contig_145685	dDocent_Contig_1101	2	2	4041471	4039703	1768	7	28.84	29.95	1.11
dDocent_Contig_18098	dDocent_Contig_56197	2	2	30152	36729	6577	7	32.55	32.47	0.08
dDocent_Contig_183092	dDocent_Contig_113893	2	2	10964201	10509030	455171	7	50.27	52.99	2.72
dDocent_Contig_29172	dDocent_Contig_17099	2	4	1989091	1568841	420250	2	10.23	13	2.77
dDocent_Contig_300492	dDocent_Contig_13127	2	4	2227767	2814958	587191	2	13	15.31	2.31
dDocent_Contig_9859	dDocent_Contig_43242	2	4	13114611	13804904	690293	2	18.65	18.34	0.31
dDocent_Contig_28647	dDocent_Contig_22783	3	4	13112662	12021748	1090914	2	18.96	22.79	3.83
dDocent_Contig_91457	dDocent_Contig_9113	2	4	8848359	9584217	735858	2	30.92	33.22	2.30
dDocent_Contig_55137	dDocent_Contig_355	3	4	5588684	5405032	183652	2	46.01	48.23	2.22
dDocent_Contig_89980	dDocent_Contig_48591	3	4	5489620	5641003	151383	2	52.22	52.22	0.21
dDocent_Contig_178388	dDocent_Contig_11186	2	4	6226800	6723076	496276	2	52.22	53.27	1.05
dDocent_Contig_159654	dDocent_Contig_126987	2	8	9494204	9004274	489930	17	2	2.5	0.50
dDocent_Contig_9101	dDocent_Contig_267577	2	8	14138548	14574383	435835	17	26.68	26.51	0.17
dDocent_Contig_13237	dDocent_Contig_392531	4	8	14082422	11437932	2644490	17	28.87	59.72	30.85
dDocent_Contig_34420	dDocent_Contig_169586	7	12	6068829	2967379	3101450	22	10.49	34.31	23.82
dDocent_Contig_107634	dDocent_Contig_26423	2	12	2482889	2694360	211471	22	38.58	42.78	4.20
dDocent_Contig_15338	dDocent_Contig_5234	5	12	1964857	2306748	348814	22	45.62	47.96	2.34
dDocent_Contig_27826	dDocent_Contig_13457	2	12	2276108	2385686	109578	22	59.13	59.13	0.00
dDocent_Contig_7795	dDocent_Contig_651	3	19	12560848	12689370	241354	1	13.88	13.88	0.00
dDocent_Contig_23083	dDocent_Contig_62	2	19	10517172	10649594	132422	1	14.56	14.56	0.00
dDocent_Contig_33316	dDocent_Contig_2275	2	19	11800775	11478770	322005	1	14.56	19.82	5.26
dDocent_Contig_139762	dDocent_Contig_1291	7	19	3903945	7012772	3108827	1	21.36	30.97	9.61
dDocent_Contig_32568	dDocent_Contig_311739	2	19	8679779	8695898	16119	1	35.16	35.16	0.00
dDocent_Contig_28819	dDocent_Contig_52743	2	19	699044	1054428	355384	1	47.61	47.61	0.00
dDocent_Contig_5372	dDocent_Contig_265782	4	18	7803365	6680571	1224644	18	18.01	33.44	15.43
dDocent_Contig_4533	dDocent_Contig_29128	2	18	5255688	6056517	800829	18	35.19	35.19	0.00
dDocent_Contig_9971	dDocent_Contig_90958	2	18	3737314	3723200	14114	18	54.58	54.58	0.00
dDocent_Contig_93961	dDocent_Contig_165225	2	18	2682613	2753051	70438	18	64.53	69.38	4.85
dDocent_Contig_56128	dDocent_Contig_137371	15	1	19122820	13747523	5375297	13	16.56	34.63	18.07
dDocent_Contig_4692	dDocent_Contig_73664	2	1	22122632	22303780	181148	13	50.47	53.18	2.71
dDocent_Contig_13164	dDocent_Contig_20310	2	1	10867407	11017209	149802	13	53.81	54.42	0.61
dDocent_Contig_118495	dDocent_Contig_238701	2	7	5714756	5711538	3218	16	9.63	9.63	0.00
dDocent_Contig_14866	dDocent_Contig_3380	2	7	6109536	6719306	609770	16	11.18	11.49	0.31
dDocent_Contig_52532	dDocent_Contig_93946	2	7	9129436	10770774	1641338	16	22.49	24	1.51
dDocent_Contig_53396	dDocent_Contig_15064	3	7	11636616	11135002	534802	16	27.87	28.63	0.76
dDocent_Contig_189298	dDocent_Contig_219013	5	7	12373068	12939896	935357	16	31.06	33.12	2.06
dDocent_Contig_305277	dDocent_Contig_16160	3	7	13445571	13920288	474717	16	33.8	36.98	3.18
dDocent_Contig_183123	dDocent_Contig_8234	2	7	184704	412675	227971	16	43.43	46.32	2.89
dDocent_Contig_9237	dDocent_Contig_378878	2	7	2368045	3765883	1397838	16	58.84	68.23	9.39
dDocent_Contig_2375	dDocent_Contig_89624	4	3	12844020	11626836	1307740	23	10.04	17.45	7.41
dDocent_Contig_342733	dDocent_Contig_33242	4	3	11229620	10928406	301214	23	20.18	21.93	1.75
dDocent_Contig_39883	dDocent_Contig_340761	3	3	9615404	9354687	425614	23	26.4	27.48	1.24
dDocent_Contig_367217	dDocent_Contig_6993	3	3	8644720	8233694	647981	23	28.88	31.6	2.72
dDocent_Contig_32102	dDocent_Contig_8987	4	3	6836814	7125003	340593	23	32.04	31.82	0.22
dDocent_Contig_62766	dDocent_Contig_119372	3	3	5629395	4222404	1406991	23	35.77	41.91	6.14
dDocent_Contig_2202	dDocent_Contig_37096	2	3	3334173	3540914	206741	23	44.58	44.58	0.00
dDocent_Contig_24007	dDocent_Contig_41980	2	21	4756087	5497302	741215	6	4.22	6.58	2.36
dDocent_Contig_224101	dDocent_Contig_78852	2	21	643059	1595391	952332	6	19.08	19.81	0.73
dDocent_Contig_24394	dDocent_Contig_193069	4	21	14703571	14076542	631449	6	24.26	28.3	4.04
dDocent_Contig_3387	dDocent_Contig_13705	2	21	9740913	9754119	13206	6	32.38	32.38	0.00
dDocent_Contig_26491	dDocent_Contig_3528	2	21	7220028	7311491	91463	6	36.47	40.3	3.83
dDocent_Contig_33255	dDocent_Contig_312955	3	21	6011967	6220780	208813	6	43.58	44.9	1.32
dDocent_Contig_37175	dDocent_Contig_23884	3	21	11048146	11676723	628577	6	53.49	61.84	8.35
dDocent_Contig_66767	dDocent_Contig_293918	2	21	12310964	12104714	206250	6	66.27	67.72	1.45
dDocent_Contig_84119	dDocent_Contig_92423	2	11	9127297	9071421	55876	3	5.04	4.42	0.62
dDocent_Contig_207044	dDocent_Contig_39533	3	11	8184168	8528871	344703	3	5.66	5.35	0.31
dDocent_Contig_25692	dDocent_Contig_8598	2	11	5105720	5216265	110545	3	8.91	8.91	0.00
dDocent_Contig_98083	dDocent_Contig_109605	2	11	7334726	7800946	466220	3	8.76	10.61	1.85
dDocent_Contig_25574	dDocent_Contig_12922	3	11	6435383	5225179	1210204	3	16.67	17.75	1.08
dDocent_Contig_55414	dDocent_Contig_329394	2	11	3221052	4686362	1465310	3	24.6	25.37	0.77
dDocent_Contig_4899	dDocent_Contig_333677	7	15	7420770	10711919	3291149	9	18.42	33.15	14.73
dDocent_Contig_10383	dDocent_Contig_42416	2	15	1762844	2199202	436358	9	40.85	41.08	0.23
dDocent_Contig_367430	dDocent_Contig_61318	2	15	5209089	5745871	536782	9	43.64	45.18	1.54
dDocent_Contig_30406	dDocent_Contig_40313	3	15	3628133	3327108	301025	9	62.43	64.01	1.58
dDocent_Contig_12063	dDocent_Contig_114253	3	15	4478343	4068300	410043	9	63.7	64.32	0.62
