START_LOCUS	END_LOCUS	NUM_LOCI	COMP_CHR	COMP_START	COMP_END	COMP_SIZE	MAP_LG	MAP_START	MAP_END	MAP_SIZE
dDocent_Contig_286213	dDocent_Contig_31792	3	7	2435572	3105573	670001	11	16.59	16.59	0.00
dDocent_Contig_53	dDocent_Contig_396511	3	7	7586100	7877495	291395	11	22.67	23	0.33
dDocent_Contig_84028	dDocent_Contig_958	4	7	4161812	4807024	645212	11	25.25	34.21	8.96
dDocent_Contig_382081	dDocent_Contig_6698	2	7	9505461	9451014	54447	11	37.11	37.73	0.62
dDocent_Contig_2583	dDocent_Contig_272119	2	7	5726457	5776499	50042	11	44.61	44.61	0.00
dDocent_Contig_8373	dDocent_Contig_69792	2	7	10685771	11186997	501226	11	45.77	49.89	4.12
dDocent_Contig_40114	dDocent_Contig_10808	2	14	14330755	13785791	544964	21	25.44	26.62	1.18
dDocent_Contig_21187	dDocent_Contig_114662	2	14	12146746	12237267	90521	21	31.87	32.18	0.31
dDocent_Contig_10429	dDocent_Contig_10387	2	14	15705318	14935776	769542	21	33.87	36.2	2.33
dDocent_Contig_279748	dDocent_Contig_97641	2	14	11338630	11933742	595112	21	41.91	41.91	0.00
dDocent_Contig_255676	dDocent_Contig_46718	2	14	8202941	8206577	3636	21	42.41	42.77	0.36
dDocent_Contig_8508	dDocent_Contig_22103	2	1	18656899	19078297	421398	7	0	1.91	1.91
dDocent_Contig_349127	dDocent_Contig_66601	3	1	2293715	3538561	1244846	7	6.59	10	3.41
dDocent_Contig_86242	dDocent_Contig_8174	2	1	6472320	6793814	321494	7	10.06	13.9	3.84
dDocent_Contig_176482	dDocent_Contig_55735	5	1	5777051	4861185	943560	7	14.44	16.25	1.81
dDocent_Contig_1884	dDocent_Contig_45279	2	1	6519557	6432412	87145	7	16.55	17.01	0.46
dDocent_Contig_48412	dDocent_Contig_62600	2	1	7650030	7572053	77977	7	18.25	18.25	0.00
dDocent_Contig_17973	dDocent_Contig_3406	4	1	8557106	9748852	1191746	7	21.62	24.09	2.47
dDocent_Contig_18098	dDocent_Contig_44561	3	1	14177633	12667988	1509645	7	32.55	36.56	4.09
dDocent_Contig_326641	dDocent_Contig_45537	2	1	15317730	14609017	708713	7	40.62	42.03	1.41
dDocent_Contig_35440	dDocent_Contig_14595	3	1	15857902	16750851	892949	7	42.03	44.63	2.60
dDocent_Contig_183092	dDocent_Contig_113893	2	1	17826555	16448607	1377948	7	50.27	52.99	2.72
dDocent_Contig_29172	dDocent_Contig_17099	2	12	11491629	10712614	779015	2	10.23	13	2.77
dDocent_Contig_242472	dDocent_Contig_13127	3	12	14210383	14215491	215771	2	13.8	15.31	1.51
dDocent_Contig_16131	dDocent_Contig_25488	2	12	9071080	9245244	174164	2	17.32	17.65	0.33
dDocent_Contig_9859	dDocent_Contig_43242	2	12	12541277	13244714	703437	2	18.65	18.34	0.31
dDocent_Contig_23714	dDocent_Contig_46376	2	12	7821358	8684422	863064	2	20.51	20.35	0.16
dDocent_Contig_25996	dDocent_Contig_22783	3	12	7745706	7307349	438357	2	20.82	22.79	1.97
dDocent_Contig_91457	dDocent_Contig_54827	2	12	14887967	15282946	394979	2	30.92	32.63	1.71
dDocent_Contig_120015	dDocent_Contig_55137	3	12	3749932	4658113	1249427	2	40.6	46.01	5.41
dDocent_Contig_8822	dDocent_Contig_355	2	12	319140	387095	67955	2	47.61	48.23	0.62
dDocent_Contig_159654	dDocent_Contig_126987	2	1	33590554	34025569	435015	17	2	2.5	0.50
