"LOCUS" "LG_F" "POS_F" "LG_M" "POS_M"
"1" "dDocent_Contig_204687" 1 0 NA NA
"2" "dDocent_Contig_234132" 2 0 NA NA
"3" "dDocent_Contig_352629" 3 0 NA NA
"4" "dDocent_Contig_90063" 4 0 14 17.1812640847884
"5" "dDocent_Contig_64385" 5 0 NA NA
"6" "dDocent_Contig_57629" 6 0 2 4.19493163908562
"7" "dDocent_Contig_11878" 7 0 NA NA
"8" "dDocent_Contig_39939" 8 0 NA NA
"9" "dDocent_Contig_56759" 9 0 13 80.9772330689993
"10" "dDocent_Contig_31830" 10 0 NA NA
"11" "dDocent_Contig_103327" 11 0 12 0.521026067309928
"12" "dDocent_Contig_29874" 12 0 NA NA
"13" "dDocent_Contig_22088" 13 0 NA NA
"14" "dDocent_Contig_15311" 14 0 NA NA
"15" "dDocent_Contig_195479" 15 0 8 0
"16" "dDocent_Contig_27733" 16 0 NA NA
"17" "dDocent_Contig_170530" 18 0 NA NA
"18" "dDocent_Contig_1062" 20 0 NA NA
"19" "dDocent_Contig_2225" 21 0 17 95.5465190040334
"20" "dDocent_Contig_126987" 22 0 NA NA
"21" "dDocent_Contig_96260" 23 0 NA NA
"22" "dDocent_Contig_249360" 7 0 19 55.6419773781253
"23" "dDocent_Contig_128509" 23 0 23 1.00000002822922e-07
"24" "dDocent_Contig_14417" 6 0 NA NA
"25" "dDocent_Contig_15730" 6 0 2 3.57372500453591
"26" "dDocent_Contig_307589" 1 1.00000002822922e-07 NA NA
"27" "dDocent_Contig_12925" 4 1.00000002822922e-07 14 59.6145169167364
"28" "dDocent_Contig_63675" 6 1.00000002822922e-07 NA NA
"29" "dDocent_Contig_4352" 7 1.00000002822922e-07 19 55.6419774781253
"30" "dDocent_Contig_12561" 4 1.00000002822922e-07 14 52.5041719723424
"31" "dDocent_Contig_193602" 4 1.00000002822922e-07 14 9.48388774758365
"32" "dDocent_Contig_29194" 4 1.00000002822922e-07 NA NA
"33" "dDocent_Contig_13930" 6 1.00000002822922e-07 2 3.57372500453591
"34" "dDocent_Contig_21570" 6 1.00000002822922e-07 2 4.19493163908562
"35" "dDocent_Contig_65233" 6 1.00000002822922e-07 2 3.57372510453592
"36" "dDocent_Contig_5090" 4 2.00000005645844e-07 NA NA
"37" "dDocent_Contig_123378" 6 2.00000005645844e-07 2 4.19493153908562
"38" "dDocent_Contig_8822" 4 3.00000008468766e-07 14 33.4128371972884
"39" "dDocent_Contig_11900" 4 3.00000008468766e-07 14 52.5041720723424
"40" "dDocent_Contig_17971" 4 3.00000008468766e-07 NA NA
"41" "dDocent_Contig_21399" 4 3.00000008468766e-07 14 48.0347311903464
"42" "dDocent_Contig_234716" 4 3.00000008468766e-07 14 10.0978159322
